125918, -1484, 1956, -3456, 73, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127562, -1598, 1999, -3259, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127602, -1588, 1978, -3209, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127643, -1591, 1938, -3213, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127683, -1597, 1938, -3224, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127723, -1581, 1905, -3220, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127764, -1598, 1939, -3213, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127804, -1613, 1907, -3218, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127845, -1610, 1930, -3220, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127885, -1616, 1940, -3204, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127925, -1607, 1944, -3208, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
127966, -1624, 1987, -3226, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128006, -1618, 1977, -3208, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128047, -1569, 1992, -3209, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128083, -1605, 2001, -3220, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128119, -1597, 1976, -3189, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128155, -1606, 1979, -3216, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128191, -1562, 1976, -3202, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128227, -1580, 1985, -3193, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128263, -1596, 1972, -3194, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128299, -1589, 1969, -3204, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128335, -1581, 1976, -3182, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128371, -1594, 1951, -3196, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128407, -1572, 1968, -3150, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128443, -1586, 1973, -3189, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128481, -1584, 1964, -3213, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128519, -1608, 1952, -3210, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128557, -1620, 1949, -3222, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128595, -1634, 1953, -3223, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128633, -1623, 1932, -3205, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128671, -1596, 1936, -3212, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128709, -1598, 1949, -3222, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128747, -1592, 1975, -3245, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128785, -1561, 1965, -3238, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128824, -1587, 1976, -3229, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128860, -1592, 1948, -3202, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128897, -1590, 1953, -3229, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128933, -1582, 1965, -3240, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
128970, -1597, 1970, -3268, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129006, -1583, 1949, -3229, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129043, -1590, 1929, -3223, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129079, -1626, 1935, -3247, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129116, -1584, 1936, -3266, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129152, -1578, 1922, -3240, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129189, -1574, 1932, -3220, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129226, -1550, 1924, -3232, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129265, -1585, 1933, -3247, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129304, -1609, 1943, -3229, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129343, -1575, 1941, -3206, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129382, -1551, 1969, -3243, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129421, -1581, 1966, -3225, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129460, -1574, 1918, -3239, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129499, -1590, 1923, -3272, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129538, -1581, 1931, -3276, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129577, -1580, 1935, -3271, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129617, -1587, 1939, -3232, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129659, -1596, 1933, -3231, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129702, -1576, 1923, -3238, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129745, -1569, 1917, -3246, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129787, -1585, 1937, -3248, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129830, -1570, 1942, -3224, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129873, -1586, 1909, -3241, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129915, -1574, 1940, -3265, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
129958, -1586, 1922, -3252, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130001, -1581, 1941, -3237, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130044, -1605, 1938, -3236, 74, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130080, -1559, 1929, -3227, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130117, -1586, 1931, -3258, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130153, -1579, 1911, -3244, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130190, -1573, 1925, -3284, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130227, -1548, 1926, -3255, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130263, -1575, 1917, -3238, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130300, -1563, 1906, -3207, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130337, -1554, 1926, -3245, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130373, -1565, 1928, -3247, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130410, -1571, 1928, -3252, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130447, -1591, 1908, -3254, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130492, -1586, 1919, -3249, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130537, -1580, 1947, -3271, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130582, -1565, 1922, -3255, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130627, -1561, 1930, -3242, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130672, -1569, 1906, -3253, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130717, -1592, 1932, -3276, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130762, -1568, 1942, -3285, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130807, -1588, 1931, -3267, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130852, -1593, 1923, -3237, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130897, -1581, 1936, -3259, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130928, -1557, 1951, -3267, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130959, -1566, 1926, -3235, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
130991, -1594, 1910, -3230, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131022, -1580, 1919, -3221, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131054, -1590, 1910, -3250, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131085, -1591, 1884, -3266, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131117, -1577, 1908, -3257, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131148, -1623, 1879, -3234, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131180, -1603, 1904, -3253, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131211, -1601, 1930, -3240, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131243, -1584, 1904, -3229, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131283, -1589, 1926, -3252, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131323, -1554, 1950, -3254, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131364, -1565, 1946, -3230, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131404, -1587, 1925, -3245, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131445, -1584, 1945, -3261, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131485, -1541, 1933, -3281, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131525, -1592, 1909, -3243, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131566, -1588, 1904, -3203, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131606, -1568, 1903, -3199, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131647, -1597, 1898, -3236, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131687, -1575, 1922, -3246, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131728, -1570, 1925, -3259, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131769, -1564, 1941, -3228, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131810, -1609, 1924, -3243, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131851, -1591, 1920, -3231, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131892, -1572, 1902, -3230, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131933, -1593, 1920, -3240, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
131974, -1572, 1899, -3245, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132015, -1512, 1947, -3237, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132056, -1563, 1893, -3175, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132091, -1557, 1915, -3220, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132126, -1580, 1922, -3296, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132161, -1582, 1893, -3292, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132197, -1579, 1919, -3293, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132232, -1585, 1907, -3260, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132267, -1583, 1925, -3260, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132302, -1582, 1892, -3272, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132338, -1559, 1910, -3248, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132373, -1561, 1895, -3244, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132408, -1555, 1908, -3252, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132444, -1554, 1889, -3273, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132484, -1544, 1890, -3272, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132524, -1590, 1891, -3301, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132564, -1536, 1911, -3264, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132605, -1559, 1919, -3257, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132645, -1601, 1890, -3270, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132685, -1564, 1885, -3276, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132726, -1562, 1906, -3282, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132766, -1558, 1898, -3252, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132806, -1571, 1894, -3270, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132847, -1570, 1894, -3273, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132883, -1593, 1920, -3307, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132920, -1542, 1883, -3281, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132957, -1568, 1901, -3266, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
132993, -1571, 1904, -3259, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133030, -1574, 1904, -3266, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133067, -1546, 1906, -3275, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133104, -1561, 1902, -3265, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133140, -1565, 1900, -3269, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133177, -1554, 1950, -3249, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133214, -1571, 1924, -3249, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133251, -1558, 1904, -3257, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133290, -1572, 1914, -3292, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133330, -1556, 1907, -3297, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133369, -1551, 1913, -3255, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133409, -1575, 1889, -3228, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133449, -1558, 1926, -3258, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133488, -1533, 1898, -3256, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133528, -1561, 1911, -3239, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133567, -1556, 1903, -3246, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133607, -1531, 1921, -3246, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133647, -1576, 1914, -3235, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133687, -1591, 1917, -3254, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133727, -1562, 1912, -3307, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133767, -1571, 1927, -3277, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133807, -1545, 1911, -3271, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133847, -1559, 1923, -3277, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133887, -1540, 1926, -3241, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133927, -1547, 1918, -3284, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
133967, -1548, 1907, -3273, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134007, -1552, 1890, -3271, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134047, -1568, 1895, -3264, 75, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134082, -1543, 1896, -3266, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134118, -1544, 1903, -3311, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134154, -1552, 1908, -3269, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134189, -1566, 1908, -3257, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134225, -1545, 1905, -3254, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134261, -1550, 1909, -3269, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134297, -1535, 1874, -3280, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134332, -1529, 1912, -3287, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134368, -1534, 1929, -3276, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134404, -1548, 1905, -3264, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134440, -1564, 1901, -3269, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134480, -1541, 1906, -3270, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134521, -1572, 1900, -3293, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134562, -1584, 1902, -3281, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134602, -1544, 1879, -3253, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
134643, -1565, 1887, -3275, 76, 5e324bcb-488d-4b0d-883d-ba72c6f5ddd0, , qunut, qunut, , 
