156577, 3947, 1290, -186, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157408, -846, 2455, -2409, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157445, -1081, 2418, -2383, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157482, -1263, 2390, -2824, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157519, -1200, 2586, -2282, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157556, -1382, 2603, -2476, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157594, -1529, 2667, -2361, 112, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157634, -1724, 2703, -2567, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157674, -1762, 2644, -2431, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157714, -1867, 2764, -2587, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157754, -1865, 2723, -2446, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157794, -1847, 2622, -2463, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157834, -1825, 2623, -2503, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157874, -1798, 2712, -2386, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157914, -1808, 2782, -2447, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157954, -1848, 2725, -2352, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
157995, -1880, 2697, -2341, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158034, -1925, 2710, -2352, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158073, -1978, 2724, -2323, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158112, -2051, 2692, -2362, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158151, -2030, 2679, -2324, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158190, -2113, 2708, -2326, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158229, -2220, 2617, -2316, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158268, -2231, 2534, -2282, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158307, -2276, 2429, -2262, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158346, -2273, 2377, -2186, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158385, -2319, 2268, -2139, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158419, -2300, 2331, -2141, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158454, -2260, 2339, -2179, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158489, -2278, 2373, -2233, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158524, -2297, 2425, -2296, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158559, -2346, 2389, -2291, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158594, -2406, 2481, -2395, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
158629, -2411, 2420, -2347, 113, 6bf57914-ccf5-45ff-82b4-8d9e4bcb4992, , transisi, transisi_berdiri_ke_qunut, , 
