32564, 4040, 424, -478, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33345, 3525, 3168, -2487, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33392, 3214, 3098, -2817, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33439, 2406, 2835, -2737, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33485, 1899, 2783, -3159, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33532, 1275, 2416, -2861, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33579, 772, 2194, -3189, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33626, 271, 1780, -3045, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33673, -106, 1603, -2615, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33706, -456, 1478, -2802, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33740, -883, 1415, -2568, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33774, -1031, 1478, -2512, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33808, -1626, 1014, -2860, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33842, -1899, 1449, -2560, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33875, -1620, 1223, -2996, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33909, -1810, 1361, -2567, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33943, -1778, 1351, -2937, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
33977, -1766, 1442, -3003, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34011, -1848, 1519, -3083, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34045, -1965, 1492, -3188, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34085, -2037, 1525, -3311, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34125, -1907, 1481, -3128, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34165, -1970, 1490, -3024, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34206, -2079, 1645, -3194, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34246, -2130, 1603, -2922, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34286, -2103, 1595, -3046, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34327, -1978, 1718, -3293, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34367, -1898, 1653, -3170, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34407, -1941, 1832, -3561, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
34448, -1739, 1785, -3352, 57, 1181b89f-92dc-4e3a-9571-e574ee6dd661, , transisi, transisi_berdiri_ke_qunut, , 
