250861, 4072, 361, -416, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252405, -3008, 661, -2363, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252442, -3071, 591, -2269, 98, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252479, -3061, 634, -2473, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252516, -2993, 744, -2539, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252554, -3144, 729, -2548, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252591, -3123, 774, -2595, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252629, -3147, 892, -2562, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252666, -3109, 876, -2575, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252703, -3143, 833, -2549, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252741, -3119, 882, -2526, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252778, -3156, 1012, -2625, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252816, -3178, 943, -2465, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252853, -3248, 951, -2515, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252891, -3353, 1302, -2304, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252929, -3349, 949, -2356, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
252967, -3264, 495, -2200, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253005, -3352, 944, -2307, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253042, -3446, 848, -2168, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253080, -3406, 875, -2229, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253118, -3412, 861, -2254, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253156, -3398, 756, -2100, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253194, -3482, 734, -2019, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253232, -3475, 705, -1829, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253271, -3513, 707, -1896, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253311, -3496, 517, -1674, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253351, -3554, 500, -1721, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253391, -3545, 566, -1590, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253431, -3606, 592, -1473, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253471, -3579, 611, -1458, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253511, -3509, 575, -1603, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253551, -3465, 850, -1725, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253591, -3506, 776, -1758, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253631, -3603, 743, -1773, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253671, -3647, 903, -1742, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253712, -3675, 850, -1753, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253752, -3596, 891, -1808, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253793, -3582, 964, -1828, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
253833, -3488, 987, -1910, 99, abeedbe5-8b88-4f94-b683-1e37c889e281, , transisi, transisi_berdiri_ke_qunut, , 
