134302, 3760, 1717, -74, 107, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135348, -2255, 1445, -2253, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135383, -2405, 1560, -2119, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135419, -2570, 1567, -2283, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135454, -2652, 1644, -2297, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135489, -2789, 1640, -2429, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135525, -2840, 1686, -2100, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135565, -2976, 1675, -2084, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135606, -2936, 1827, -2059, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135647, -2864, 1896, -2162, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135688, -2811, 1977, -2340, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135729, -2704, 1864, -2395, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135770, -2659, 1857, -2418, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135811, -2624, 1821, -2424, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135852, -2660, 1908, -2524, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135893, -2704, 1855, -2426, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135934, -2776, 1858, -2470, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135970, -2760, 1820, -2398, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
136007, -2801, 1864, -2433, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
136043, -2755, 1834, -2439, 109, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
