91794, 2796, 1161, 2847, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93502, 2397, 177, 765, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93541, 3271, 493, 1399, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93578, 3638, 778, 3008, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93616, 2899, 592, 3048, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93653, 2056, 685, 3346, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93691, 2161, 914, 3675, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93729, 2074, 980, 2971, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93766, 2278, 1195, 3135, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93804, 2582, 1227, 2788, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93841, 2751, 1257, 2773, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93879, 2723, 990, 2847, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93917, 2937, 1136, 2784, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93953, 2851, 956, 2716, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93990, 2760, 1044, 2828, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94027, 2919, 1204, 2909, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94064, 2958, 1158, 2656, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94101, 3073, 1203, 2538, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94138, 3062, 1419, 2584, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94175, 3029, 1253, 2502, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94212, 3147, 1289, 2526, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94249, 3156, 1253, 2371, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
94286, 3287, 1055, 2304, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
