135897, 2862, 1400, 2694, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136464, 1960, 1367, 3370, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136500, 1926, 1384, 3397, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136536, 1940, 1338, 3460, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136573, 1779, 1269, 3560, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136611, 1695, 1410, 3580, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136650, 1915, 1236, 3578, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136689, 1309, 1294, 3649, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136728, 1515, 1002, 3683, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136767, 1876, 1341, 3604, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136806, -1308, 807, 3305, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136845, 4864, -972, 3441, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136884, 2668, 1415, 4106, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136923, 2168, -1305, 5820, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136962, 5656, 3625, 2602, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137003, 6063, 2884, 3881, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137044, 4040, 1364, 2282, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137086, 3536, 444, 909, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137127, 2839, 211, 1486, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137169, 2394, 1006, 1616, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137210, 212, 739, 1100, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137251, 152, 494, 1431, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137293, -2617, -1539, 3951, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137334, 4693, -2293, 7871, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137376, 943, 1551, 1341, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137413, 978, 2709, 1801, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137451, 879, 2642, 4389, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137488, 822, 1182, 3539, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137526, 415, 1841, 3024, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137564, 660, 2171, 3368, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137601, 442, 1816, 3578, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137639, 303, 2181, 3481, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
137677, 209, 2350, 3199, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
