134010, 2813, 1314, 2764, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135646, 3810, 1042, 1541, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135682, 3839, 1232, 1331, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135717, 3756, 1441, 1548, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135753, 4001, 1434, 1514, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135788, 3972, 1338, 1435, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135824, 3673, 1147, 1289, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135859, 3684, 1369, 1200, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135895, 3542, 1244, 1038, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135930, 3611, 1373, 920, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135966, 3379, 1487, 676, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136002, 3253, 1942, 444, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136044, 3186, 2000, 812, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136086, 3834, 1860, 1177, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136128, 3240, 3293, 1245, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136170, 3269, 2138, 1005, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136212, 2898, 1969, 993, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136254, 3211, 1863, 1416, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136296, 3153, 1664, 1546, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136338, 3059, 2480, 1827, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136380, 3002, 2080, 1975, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136422, 3189, 1950, 1991, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136457, 2909, 1807, 1978, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136492, 3019, 1602, 2451, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136527, 2876, 1831, 2405, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136562, 2838, 1675, 2339, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136597, 2806, 1629, 2429, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136632, 2770, 1707, 2651, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136667, 2773, 1602, 2454, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136702, 2485, 1802, 2532, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136737, 2468, 1972, 2680, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136772, 2228, 1837, 2941, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136808, 1850, 1722, 3196, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136848, 1929, 1934, 3030, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136889, 2198, 2045, 2821, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136929, 1673, 2264, 2786, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
136970, 2075, 2686, 2819, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137011, 1913, 2602, 2635, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137051, 2137, 2332, 2565, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137092, 2285, 2212, 2766, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137132, 2293, 2179, 2605, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137173, 2494, 2192, 2597, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137214, 2371, 2199, 2591, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137250, 2493, 2110, 2458, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137286, 2525, 2311, 2442, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137322, 2656, 2167, 2354, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137358, 2769, 2176, 2276, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137394, 2778, 2119, 2360, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137430, 2772, 2080, 2351, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137466, 2744, 1992, 2337, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137502, 2767, 2076, 2336, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137538, 2756, 2025, 2368, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137574, 2745, 2080, 2250, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137610, 2750, 2097, 2372, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
137650, 2882, 2031, 2295, 97, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
