102374, 2055, 2270, 2788, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102942, 2009, 2329, 2813, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102981, 2122, 2369, 2803, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103020, 2000, 2403, 2808, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103058, 2222, 2281, 2829, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103097, 2323, 2378, 3008, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103136, 1549, 2234, 3394, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103175, 2136, 1978, 2204, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103216, 2366, 2776, 2621, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103258, 2616, 2137, 3592, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103299, 2865, 1814, 3173, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103341, 2986, 2555, 3336, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103382, 3305, 1761, 3186, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103424, 3152, 2304, 2441, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103465, 3183, 1895, 2032, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103507, 2883, 1755, 1755, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103548, 2823, 897, 1769, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103590, 2413, 3392, 2802, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103624, 744, 3809, 1121, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103658, 48, 867, 2691, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103693, 1907, 935, 2638, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103727, 1196, 2313, 2538, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103761, 1604, 1900, 3212, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103796, 1505, 1532, 3101, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103830, 1856, 2393, 2962, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103864, 1912, 1978, 2834, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103899, 1985, 2009, 3211, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103933, 1700, 1743, 3054, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
103968, 1631, 1890, 3286, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104008, 1225, 1731, 3363, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104049, 1184, 1835, 3241, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104089, 1510, 2386, 3170, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104130, 1839, 2270, 2835, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104170, 1983, 2213, 3001, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104211, 2071, 1912, 3053, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104251, 2069, 1806, 3002, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104292, 2009, 1601, 3007, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104332, 2166, 1654, 2858, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104373, 2339, 1546, 2990, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104413, 2399, 1722, 3142, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104453, 2527, 1589, 3052, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104493, 2561, 1491, 3070, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104533, 2514, 1356, 3023, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104574, 2498, 1626, 3042, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104614, 2470, 1639, 2865, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104654, 2456, 1562, 2942, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104694, 2432, 1801, 2957, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
104734, 2398, 1622, 2937, 89, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
