99515, 3696, 1577, 1343, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100702, 3794, 156, 559, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100741, 2761, -666, 189, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100780, 2496, -623, 346, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100818, 1797, -100, -456, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100856, 1789, -32, -338, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100894, 6056, 70, 6575, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100932, 4437, -1929, 1457, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100970, 1617, 320, 3572, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
101009, 1728, 546, 3413, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
101047, 2671, 916, 3663, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
101085, 1940, 1342, 2335, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
101123, 2442, 1396, 2666, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
101161, 2587, 1655, 2852, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
101200, 2692, 1423, 2651, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
