285167, 2987, 760, 2847, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285942, 2808, 441, 3743, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285976, 2663, -59, 3706, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286010, 2353, 72, 4056, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286048, 5754, 1731, 3207, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286087, 6259, 158, 3203, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286126, 5361, 419, 3126, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286164, 4029, 897, 1783, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286203, 3376, -606, 1955, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286242, 3057, -609, 1694, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286281, 2199, 4, 1508, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286319, 1343, -760, 2303, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286358, 1051, -176, 2181, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286397, -2431, 2019, 8946, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286436, 2037, 373, 2785, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286474, 1170, 1369, 1639, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286512, 724, 1994, 1854, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286550, 2569, 784, 5729, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286589, 1182, 625, 3073, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286627, 1340, 1186, 3202, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286665, 1577, 790, 4000, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286704, 1378, 757, 3695, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286742, 1462, 1282, 3550, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286780, 1527, 1409, 3581, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286819, 1430, 1519, 3523, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286854, 1335, 1645, 3525, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286889, 1175, 1424, 3617, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286925, 805, 1043, 3686, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286960, 574, 663, 3953, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
286996, 1405, 1443, 3896, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
287031, 1373, 1288, 3580, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
287067, 1443, 912, 3777, 93, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
