186106, 3489, 2010, 1251, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186815, 2691, 2008, 2662, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186853, 2707, 2022, 2725, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186891, 3109, 1660, 2784, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186929, 3815, 1673, 3076, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186967, 4578, 2070, 2564, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187004, 4690, 1517, 1653, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187042, 4802, 1038, 1547, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187080, 4358, 877, 1500, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187118, 3929, 1041, 766, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187156, 3821, 685, 1022, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187194, 3396, 742, 947, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187231, 2897, 778, 740, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187269, 2689, 832, 514, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187306, 2544, 207, 895, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187344, 1851, -1151, 2708, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187381, 1393, 1423, 2016, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187419, 1190, 955, 2833, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187456, 1754, 1286, 3504, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187494, 2486, 2125, 4552, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187531, 2217, 1689, 3090, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187569, 2309, 1655, 2605, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187611, 2551, 1585, 2764, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187653, 2684, 1709, 2690, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187695, 2815, 1640, 2585, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187738, 2961, 1467, 2534, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
187780, 3083, 1348, 2464, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
