185750, 3243, 1085, 2533, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186552, 2589, 1538, 2905, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186591, 2570, 1241, 2947, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186631, 2635, 1381, 2989, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186670, 2422, 1434, 3097, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186710, 2761, 1154, 2898, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186747, 2523, 1307, 2950, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186784, 2750, 1214, 2962, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186822, 2462, 1264, 3155, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186859, 2778, 1221, 3360, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186896, 2793, 1049, 3470, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186934, 1917, -8, 2508, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186971, 4882, 709, 2207, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187008, 5024, -7, 4252, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187046, 4913, 843, 2862, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187083, 3521, 4, 1970, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187121, 4098, 204, 1968, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187161, 3431, 1052, 1659, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187201, 2197, 604, 849, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187241, 2146, 120, 857, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187282, 2301, 328, 817, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187322, 5084, -4586, 8364, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187362, 4550, 1842, 1586, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187403, 2778, 1218, 1259, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187443, 3013, -927, 2251, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187483, 3043, -69, 2519, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187524, 3141, 162, 2650, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187571, 3138, 67, 2505, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187619, 3023, 621, 2839, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187666, 2898, 754, 2303, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187714, 3024, 767, 3082, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187762, 2764, 677, 2658, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187809, 2863, 860, 2972, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187857, 3099, 865, 2681, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187904, 3029, 528, 2625, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
187952, 3067, 357, 2938, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188000, 2845, 344, 2771, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188027, 2740, 1116, 3011, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188055, 2754, 1013, 2799, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188082, 2886, 1009, 2750, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188110, 2931, 1000, 2710, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188138, 2904, 807, 2809, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188165, 2781, 834, 2755, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188193, 3047, 950, 2916, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188221, 3056, 1233, 2513, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188248, 3504, 518, 2055, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188276, 3478, 1038, 2449, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188304, 3410, 594, 2520, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188346, 3256, 580, 2611, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188388, 3206, 797, 2656, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188430, 3188, 1029, 2500, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
188472, 3170, 910, 2486, 96, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
