70158, 2841, 2684, 1177, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71161, 4976, 2195, 1300, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71202, 3120, 324, 2427, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71244, 2756, 1216, 2856, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71282, 2371, 951, 3037, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71320, 2649, 767, 2451, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71358, 2720, 73, 2607, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71396, 3282, 1226, 2251, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71435, 2240, 2204, 2210, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71473, 1594, 2187, 2195, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71511, 662, 851, 2668, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71549, -98, 2239, 2872, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71587, 699, 3063, 3441, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71626, 1004, 2394, 2551, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71664, 1388, 3010, 2682, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71702, 1590, 2630, 2870, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71740, 1680, 2336, 2711, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71778, 1731, 2655, 2812, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71816, 1767, 2502, 2775, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
