365149, 2854, 1029, 2847, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365888, 2335, 914, 3306, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365927, 2251, 1010, 3381, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365965, 2202, 960, 3399, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366004, 2120, 1053, 3390, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366043, 2026, 1116, 3455, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366083, 2024, 1078, 3455, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366122, 1955, 1051, 3494, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366162, 1890, 1149, 3495, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366202, 1856, 1073, 3514, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366241, 1961, 600, 3684, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366281, 1916, 397, 3762, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366321, 2035, 754, 3669, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366360, 2332, 815, 3716, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366400, 2411, 774, 3805, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366440, 3363, -605, 3838, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366477, 4453, 466, 3109, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366515, 4114, 1636, 2153, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366553, 3877, 713, 2422, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366590, 3171, -469, 2268, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366628, 2672, -302, 2255, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366666, 3952, 668, 3028, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366703, 2507, -95, 3231, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366741, 1917, 419, 3214, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366779, 2416, 863, 2817, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366817, 1427, -710, 2624, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366859, 2538, 871, 2769, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366901, 3984, 1297, 3998, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366944, 2797, 718, 3152, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
366986, 2057, 691, 2581, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367029, 2733, 574, 2792, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367071, 2626, 236, 3532, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367114, 2544, 404, 2809, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367156, 2581, 837, 3249, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367199, 2366, 577, 2682, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367241, 2499, 764, 3379, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367284, 1946, 104, 3537, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367316, 2279, 488, 3659, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367348, 2010, 1449, 3334, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367381, 1753, 614, 2995, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367413, 1619, 872, 3505, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367446, 1610, 1210, 3968, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367478, 1493, 952, 3455, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367510, 1378, 1174, 3609, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367543, 1428, 1361, 3649, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367575, 1165, 940, 3615, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367608, 1384, 1556, 4168, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367648, 1259, 1466, 4240, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367689, 1255, 1583, 3945, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367730, 1102, 1624, 3640, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367771, 1399, 1364, 3331, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367812, 1326, 1205, 3424, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367852, 1334, 1417, 3529, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367893, 1745, 1696, 3822, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367934, 1786, 1752, 3731, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
367975, 1663, 1482, 3061, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368016, 1584, 1395, 2788, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368054, 1722, 1506, 2893, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368092, 2245, 1728, 3312, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368130, 2343, 1580, 3741, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368169, 2340, 1246, 3828, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368207, 2438, 1225, 3484, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368245, 2093, 1463, 3037, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368283, 2183, 1507, 3099, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368322, 1892, 1236, 3560, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368360, 1800, 1584, 3344, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368398, 1808, 1645, 3360, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368437, 1767, 1503, 3532, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368474, 1797, 1486, 3498, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368511, 1810, 1469, 3420, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368548, 1838, 1465, 3428, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
368585, 1789, 1450, 3447, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
