143700, 1633, 1471, 3458, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145241, 602, 1720, 3640, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145282, 676, 2161, 3663, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145322, 431, 2377, 3601, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145363, 524, 2621, 3483, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145401, 318, 2772, 3418, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145439, 368, 2813, 3519, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145477, 376, 2751, 3412, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145515, 405, 2909, 3323, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145553, 411, 2619, 3128, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145592, 557, 2562, 3262, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145630, 710, 2382, 3194, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145668, 682, 2347, 3326, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145706, 897, 2158, 3344, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145744, 1101, 2047, 3170, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145783, 762, 2087, 3144, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145822, 1233, 2452, 3142, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145861, 1091, 2104, 3111, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145900, 952, 2005, 3267, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145939, 1342, 2575, 3657, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145978, 1126, 2132, 3439, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146017, 1038, 2005, 3229, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146056, 1501, 2174, 3574, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146095, 1596, 2419, 3280, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146134, 1429, 2214, 2993, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146173, 1682, 2051, 3322, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146212, 1558, 1814, 3220, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146251, 1433, 1801, 2840, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146290, 1341, 1601, 2784, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146329, 1551, 1726, 3292, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146368, 1683, 1995, 4383, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146407, 1373, 1688, 3852, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146446, 1400, 2056, 3193, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146485, 1399, 2082, 3211, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
146524, 1267, 2102, 3399, 99, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
