288866, 2861, 2735, 1203, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290595, 2150, 1448, 3237, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290626, 2202, 1330, 3146, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290657, 2237, 1388, 3173, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290688, 2247, 1456, 3476, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290719, 2086, 1552, 3504, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290751, 1796, 1560, 3170, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290792, 1634, 1707, 3165, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290833, 1592, 1796, 3318, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290875, 1753, 1984, 3458, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290916, 1768, 2035, 3330, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290958, 1653, 1943, 3022, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
