534059, 3534, 1494, 1533, 84, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535381, 2479, 1686, 3262, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535426, 2673, 1404, 3006, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535470, 2059, 720, 2232, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535515, 2660, 1307, 2207, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535559, 2414, 2169, 2792, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535603, 2035, 2237, 2815, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535648, 1938, 1921, 2670, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535692, 2061, 2161, 2536, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535737, 2044, 1866, 2715, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535768, 2116, 1618, 3247, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535800, 2394, 1028, 2965, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535832, 2063, 1352, 2924, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535863, 2064, 1430, 3281, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535895, 1914, 1395, 3198, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535927, 1963, 1527, 3416, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535959, 1772, 1345, 3436, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535990, 1886, 1287, 3311, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536022, 1875, 1371, 3628, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536054, 1675, 1152, 3473, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536086, 1696, 1144, 3752, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536127, 1654, 1148, 3639, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536168, 1626, 1207, 3661, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536209, 1517, 1339, 3719, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536251, 1570, 1318, 3662, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536292, 1606, 1396, 3571, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536333, 1729, 1522, 3451, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536375, 1792, 1620, 3672, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536416, 1546, 1638, 3814, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536457, 1578, 1493, 3651, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536499, 1243, 1588, 3365, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536539, 1121, 1636, 3359, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536580, 837, 1613, 3370, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536620, 777, 1603, 3710, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536661, 283, 1696, 3664, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536701, 190, 1778, 3927, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536742, -23, 1631, 3939, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536782, -85, 1708, 3811, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536823, -70, 1601, 3795, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536863, 604, 1879, 3502, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536904, 637, 1818, 3454, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536940, 777, 1891, 3604, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
536977, 798, 2029, 3505, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537014, 912, 2080, 3563, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537050, 1095, 1815, 3601, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537087, 929, 1672, 3641, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537124, 1156, 1980, 3512, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537161, 1221, 2045, 3369, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537197, 1321, 1988, 3475, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537234, 1464, 2080, 3306, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537271, 1573, 2085, 3271, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537308, 1653, 2053, 3232, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537347, 1738, 2059, 3248, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537387, 1539, 2002, 3348, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537427, 1216, 1905, 3474, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537467, 1091, 2092, 3487, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537507, 1033, 2135, 3419, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537547, 1041, 2128, 3376, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
537587, 993, 2124, 3395, 81, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
