249083, 3074, 2537, 802, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250241, 1953, 147, 1638, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250282, 1871, -302, 938, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250323, 1829, 2020, 6288, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250364, 1668, -3239, 1602, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250405, 1506, 2275, 2824, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250446, 1399, 858, 2454, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250484, 2198, 1683, 3459, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250522, 2240, 1709, 3160, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250560, 2264, 1978, 2486, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250598, 2307, 2175, 2290, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250637, 2187, 1960, 2751, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250675, 2228, 2425, 2796, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250713, 2339, 2305, 2572, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250751, 2148, 2179, 2541, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250790, 2351, 2272, 2658, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250828, 2222, 2204, 2668, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250866, 2361, 2369, 2611, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250904, 2112, 2427, 2513, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250943, 1958, 2681, 2488, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250981, 1822, 2914, 2452, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251019, 1750, 2981, 2376, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251058, 1611, 2899, 2279, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251096, 1573, 2904, 2259, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251135, 1153, 2805, 2730, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251173, 846, 2859, 2656, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251212, 729, 2900, 2771, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251250, 719, 2920, 3034, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251289, 852, 3022, 2949, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251327, 1341, 2943, 2450, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251366, 1687, 2754, 2416, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251404, 1860, 2747, 2545, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251443, 1911, 2511, 2475, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251481, 2235, 2916, 2635, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251520, 2532, 2852, 2502, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251559, 2404, 2524, 2254, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251598, 2199, 1999, 2286, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251636, 2555, 2609, 2508, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251675, 2396, 2674, 2434, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251714, 2132, 2425, 2378, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251753, 2260, 2771, 2012, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251791, 1920, 2461, 1722, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251830, 2930, 2899, 2610, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251869, 2685, 2560, 2345, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251908, 2409, 2433, 2218, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251947, 2477, 2079, 2506, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
251985, 2513, 2367, 2497, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252024, 2498, 2198, 2308, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252062, 2692, 2303, 2228, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252101, 2644, 2284, 2149, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252139, 2677, 2457, 2114, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252178, 2639, 2269, 2107, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252216, 2665, 2433, 2197, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252255, 2464, 2385, 2314, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252293, 2451, 2481, 2329, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252332, 2394, 2449, 2214, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252370, 2403, 2424, 2253, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252409, 2333, 2643, 2361, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252448, 2191, 2701, 2295, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252486, 2064, 2575, 2280, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
252524, 2145, 2693, 2373, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
