53530, 3291, 2041, 1435, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54542, 4228, 825, 2546, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54583, 2495, 619, 2092, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54624, 2503, 889, 3146, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54665, 2840, 1813, 3154, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54706, 2789, 923, 2241, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54747, 1631, 4211, 2864, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54788, 2303, -379, 1597, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54829, 2188, 1573, 2176, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54870, 2319, 639, 3059, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54911, 2329, 1089, 3034, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54952, 2319, 1072, 2939, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54985, 2206, 2119, 3122, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
55019, 2277, 1862, 2706, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
55053, 2262, 2079, 2690, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
55086, 2057, 1793, 2847, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
