198309, 3399, 2186, 962, 97, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199003, 3347, 1938, 1625, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199041, 3385, 1842, 1589, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199079, 3360, 1854, 1604, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199118, 3515, 1635, 1582, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199156, 3514, 1585, 1667, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199195, 3310, 1690, 1663, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199229, 3474, 1535, 1684, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199263, 3546, 1415, 1743, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199297, 3546, 1433, 1774, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199331, 3506, 1388, 1852, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199365, 3723, 1271, 2000, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199399, 3782, 1362, 1992, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199433, 3922, 67, 1762, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199467, 4248, 337, 2083, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199501, 5184, 1545, 1398, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199535, 5626, 1246, -7, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199569, 5307, -199, 684, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199609, 4433, -1035, 1286, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199650, 3888, -370, 1580, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199691, 3274, -668, 2134, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199732, 3432, -582, 1747, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199773, 3268, -802, 812, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199814, 2743, -207, 581, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199855, 2798, -314, 1302, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199896, 3194, 693, 3890, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199937, 3115, -557, 4568, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
199978, 1699, -1223, 2719, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200014, 2391, 2068, 3246, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200050, 2770, 225, 3230, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200087, 2650, 637, 3164, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200123, 2889, 1112, 2834, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200160, 2901, 998, 2648, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200196, 3200, 1307, 2630, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200233, 3313, 862, 2823, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200269, 3112, 894, 2708, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200306, 3016, 1098, 2510, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200342, 3003, 1032, 2541, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200379, 2849, 1007, 2519, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200417, 2805, 1277, 2761, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200456, 2917, 1021, 3012, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200495, 2968, 1287, 3021, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200534, 2833, 1278, 2843, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200573, 2715, 1206, 2734, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200611, 2634, 1316, 2781, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200650, 2815, 1395, 3101, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200689, 2562, 1424, 2806, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200728, 2528, 1465, 2786, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200767, 2523, 1895, 2772, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200806, 2353, 1418, 2774, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200845, 2459, 1484, 3131, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200884, 2242, 1734, 3024, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200923, 2181, 1574, 2934, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
200962, 2268, 1700, 3103, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201001, 2480, 1437, 3353, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201040, 2640, 709, 3542, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201079, 2598, 1217, 3086, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201118, 2632, 1310, 2903, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201157, 2658, 1276, 3169, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201196, 2719, 1254, 3136, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201234, 2564, 1273, 2734, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201273, 2659, 1371, 2776, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201311, 2718, 1281, 2672, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201350, 2769, 1492, 2725, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201388, 3007, 1436, 2507, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201427, 3115, 1421, 2313, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201465, 3322, 1430, 2422, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201504, 3344, 1137, 2280, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201542, 3357, 1030, 2412, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201581, 3326, 966, 2401, 90, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201619, 3112, 1086, 2343, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201658, 3194, 1060, 2388, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201697, 3262, 1050, 2442, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201736, 3276, 852, 2346, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201775, 3388, 1061, 2391, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201813, 3293, 997, 2428, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201852, 3196, 1097, 2589, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201891, 3117, 1244, 2563, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201930, 3020, 1313, 2473, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
201969, 3121, 1339, 2501, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
202006, 3124, 1249, 2515, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
202043, 2921, 1269, 2506, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
202080, 2734, 1384, 2538, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
202118, 2759, 1432, 2576, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
202155, 2692, 1588, 2626, 85, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
