184966, 3357, 2301, 382, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185971, 2499, 2691, 2565, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186010, 2608, 3038, 2615, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186050, 3199, 2537, 2329, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186089, 3987, 1786, 3482, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186129, 5323, 2459, 2057, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186168, 5686, 1720, 1238, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186208, 5311, 1246, 1577, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186247, 3609, 635, 1431, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186287, 2653, -458, 1269, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186326, 2079, -248, 1047, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186366, 1778, 100, 556, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186405, 1068, -1523, -1324, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186445, 2211, -8, 4132, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186483, 1780, 2226, 1268, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186521, 2475, 1157, 2565, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186559, 2227, 1908, 3171, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186598, 2222, 2548, 2842, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186636, 2313, 1742, 2604, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186674, 2504, 2397, 2685, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186713, 2476, 1945, 2512, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186751, 2601, 2147, 2655, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186789, 2558, 1885, 2377, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186828, 2512, 2176, 2622, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186866, 2523, 2197, 2606, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186904, 2445, 2049, 2414, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186943, 2453, 2340, 2532, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
186982, 2471, 2069, 2273, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187022, 2407, 2285, 2619, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187062, 2427, 2441, 2613, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187101, 2302, 2238, 2543, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187141, 2454, 2611, 2735, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187181, 2135, 2476, 2313, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187220, 1962, 2327, 2496, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187260, 1905, 2605, 2521, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187300, 1561, 2482, 2214, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187339, 1498, 2460, 2633, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187379, 1479, 2681, 2788, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187419, 1438, 2692, 2790, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187459, 1637, 3191, 3189, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187495, 1859, 2705, 2492, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187531, 1911, 2314, 2026, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187567, 2318, 2756, 2424, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187603, 2432, 2572, 2614, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187639, 2415, 2611, 2445, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187675, 2266, 2569, 2227, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187712, 2397, 2518, 2248, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187748, 2528, 2652, 2477, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187784, 2402, 2227, 2356, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187820, 2629, 2318, 2297, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187856, 2728, 2254, 2234, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187892, 2632, 2149, 2184, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187929, 2688, 2175, 2199, 93, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
187970, 2771, 2388, 2203, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188011, 2671, 2387, 2129, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188052, 2575, 2302, 2132, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188093, 2699, 2353, 2234, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188134, 2654, 2324, 2173, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188175, 2728, 2284, 2212, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188216, 2667, 2178, 2256, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188257, 2668, 2188, 2133, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188298, 2736, 2400, 2173, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188339, 2706, 2281, 2214, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188380, 2578, 2273, 2183, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188421, 2548, 2364, 2249, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188462, 2602, 2289, 2296, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188498, 2568, 2278, 2276, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188534, 2569, 2321, 2281, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188570, 2467, 2293, 2209, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188606, 2418, 2463, 2348, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188642, 2376, 2561, 2292, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188678, 2393, 2425, 2264, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188714, 2405, 2491, 2294, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188750, 2413, 2541, 2293, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188786, 2407, 2403, 2285, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188822, 2443, 2480, 2300, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188858, 2452, 2456, 2271, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188894, 2409, 2440, 2258, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188931, 2377, 2482, 2289, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
188972, 2352, 2516, 2283, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189013, 2368, 2519, 2265, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189054, 2369, 2555, 2265, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189095, 2381, 2538, 2267, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189136, 2375, 2492, 2256, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189177, 2399, 2542, 2290, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189219, 2406, 2486, 2239, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189260, 2339, 2531, 2278, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189301, 2346, 2560, 2285, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189342, 2404, 2531, 2221, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189383, 2366, 2488, 2240, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189424, 2340, 2562, 2249, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189466, 2366, 2582, 2258, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189500, 2370, 2542, 2248, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189535, 2414, 2527, 2208, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189569, 2427, 2538, 2226, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189604, 2378, 2526, 2270, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189639, 2355, 2557, 2252, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189673, 2369, 2564, 2256, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189708, 2336, 2555, 2214, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189742, 2350, 2559, 2246, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189777, 2357, 2605, 2240, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189812, 2353, 2553, 2237, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189846, 2349, 2616, 2284, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189881, 2322, 2552, 2222, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189916, 2345, 2561, 2239, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189956, 2340, 2620, 2275, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
189997, 2334, 2588, 2200, 92, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
