133286, 3796, 1156, 1119, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134079, 3412, 1050, 2131, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134122, 3502, 860, 2117, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134164, 3416, 955, 2180, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134207, 3369, 803, 2166, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134250, 3461, 837, 2258, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134284, 3345, 847, 2273, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134319, 3588, 850, 2260, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134354, 3545, 999, 2301, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134389, 3788, 231, 2527, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134424, 3554, -560, 2396, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134459, 4439, 702, 3644, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134494, 4625, 377, 1394, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134529, 4148, 215, 993, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134564, 3687, -676, 1737, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134599, 3496, -1589, 1175, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134634, 3328, -790, 1357, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134674, 3260, -472, 2150, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134714, 3254, -819, 2827, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134755, 3294, -91, 2959, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134795, 3236, 473, 2506, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134836, 3542, 273, 2896, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134876, 3372, 433, 3144, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134916, 3664, 599, 2993, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134957, 3099, -276, 1979, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134997, 2861, -49, 1769, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135038, 2630, 24, 1434, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135073, 3200, 610, 2578, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135109, 3029, 192, 2240, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135145, 3212, 984, 2509, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135181, 2835, 655, 2518, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135217, 2941, 947, 2616, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135252, 2871, 1107, 2743, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135288, 2595, 809, 2530, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135324, 2469, 1082, 3178, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135360, 2345, 661, 3318, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135396, 2398, 1110, 3393, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135432, 2278, 1085, 3117, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135472, 2200, 1154, 3045, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135512, 2236, 1451, 2995, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135552, 2100, 1237, 2966, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135592, 2126, 1386, 3200, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135632, 2235, 1659, 3855, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135672, 2036, 1612, 3715, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135712, 1873, 1690, 3296, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135752, 1935, 1772, 3148, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135792, 2194, 1873, 2991, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135833, 2432, 1811, 3001, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135875, 2386, 1560, 2998, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135917, 2381, 1629, 3015, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
135959, 2360, 1645, 2949, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136001, 2313, 1757, 2919, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136043, 2211, 1839, 2924, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136085, 2241, 1825, 2945, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136127, 2279, 1786, 2957, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136169, 2336, 1837, 2981, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136211, 2465, 1853, 2953, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136254, 2533, 1809, 2811, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136293, 2516, 1705, 2770, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136332, 2521, 1712, 2727, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
136372, 2518, 1817, 2772, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
