37672, 1886, 1929, 3095, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39499, 2471, 1423, 2882, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39536, 2594, 1753, 3003, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39573, 2536, 1438, 2974, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39612, 2629, 1422, 2905, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39652, 2541, 1704, 2880, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39691, 2598, 1204, 2958, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39731, 2572, 1542, 2861, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39771, 2618, 1527, 2969, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39810, 2551, 1417, 2888, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39850, 2631, 1488, 2932, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39889, 2578, 1439, 2848, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
