252288, 3559, 1264, 1703, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254914, 3028, 926, 2723, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254952, 3090, 897, 2718, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254990, 3105, 980, 2671, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255028, 3063, 1121, 2654, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255065, 3081, 1071, 2752, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255103, 3016, 1088, 2559, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255141, 3002, 1201, 2819, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255179, 2973, 1088, 2721, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255217, 2918, 1104, 2733, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255255, 2806, 1169, 2874, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255297, 2781, 1120, 2956, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255339, 2683, 1171, 3025, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255381, 2556, 1229, 2896, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255423, 2255, 1114, 2700, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255465, 2247, 1493, 2897, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255507, 2263, 1774, 2984, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255549, 2259, 1650, 2708, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255591, 2408, 1866, 2829, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255633, 2633, 1809, 2918, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255676, 2799, 1811, 2921, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255711, 2710, 1526, 2746, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255747, 2687, 1525, 2551, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255783, 2701, 1587, 2600, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255819, 2738, 1612, 2726, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255855, 2771, 1598, 2719, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255891, 2831, 1655, 2655, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255927, 2952, 1677, 2634, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255963, 3047, 1583, 2484, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
255999, 2987, 1503, 2382, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256035, 2963, 1550, 2484, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256075, 2983, 1547, 2569, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256116, 2941, 1503, 2452, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256156, 2937, 1518, 2493, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256197, 2924, 1642, 2544, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256237, 2885, 1710, 2533, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256278, 2868, 1731, 2501, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256318, 2891, 1683, 2543, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256359, 2972, 1691, 2591, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256399, 2935, 1613, 2592, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256440, 2901, 1571, 2485, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256481, 2964, 1556, 2528, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256517, 2891, 1438, 2600, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256554, 2921, 1536, 2478, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256591, 2868, 1426, 2466, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256628, 2958, 1398, 2520, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256665, 2939, 1333, 2488, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256701, 2975, 1345, 2496, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256738, 2939, 1319, 2487, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256775, 2912, 1316, 2513, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256812, 2963, 1315, 2425, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256849, 3030, 1248, 2490, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256888, 3019, 1252, 2570, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256927, 2955, 1182, 2392, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
256966, 3113, 1211, 2426, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257005, 3139, 1208, 2405, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257044, 3270, 1657, 2741, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257083, 2993, 1862, 2752, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257122, 2554, 2016, 2461, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257161, 2431, 2021, 2431, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257200, 2624, 1915, 2583, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257239, 2746, 1779, 2621, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257278, 2722, 1759, 2543, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257314, 2792, 1758, 2552, 75, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257350, 2795, 1674, 2562, 75, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257386, 2786, 1753, 2575, 75, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257422, 2735, 1751, 2544, 75, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257458, 2704, 1866, 2493, 75, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257494, 2694, 1881, 2542, 75, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
257530, 2712, 1820, 2521, 75, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
