111289, 3038, 2215, 1733, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112005, 1299, 1616, 3683, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112043, 1001, 2113, 3552, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112081, 1299, 1856, 3554, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112119, 1223, 1871, 3523, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112157, 1384, 1942, 3395, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112195, 1630, 2346, 3651, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112233, 1969, 2216, 4022, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112271, 2755, 1339, 3842, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112308, 4026, 1496, 2982, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112345, 5363, 944, 2694, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112382, 5585, 533, 2720, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112420, 4666, 978, 1510, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112457, 3793, 343, 1417, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112494, 3094, -15, 1453, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112532, 3012, 547, 708, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112569, 2437, 166, 342, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112606, 1740, -450, 204, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112644, 535, 1340, 2944, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112681, 72, -1009, 4159, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112718, 1358, 1260, 4876, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112755, 945, 400, 3310, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112792, 1067, 2324, 3410, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112829, 1634, 1724, 3693, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112866, 1895, 1456, 3077, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112903, 1764, 1669, 2820, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112940, 1951, 1799, 3235, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
112977, 1952, 2262, 3152, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113014, 2027, 1995, 3204, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113051, 2047, 1939, 3238, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113091, 2034, 1732, 2988, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113131, 2020, 1917, 3018, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113171, 2088, 1944, 3093, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113212, 1971, 1899, 3026, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113252, 2008, 1899, 3065, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
113292, 1991, 1931, 3188, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
