313807, 3304, 2457, 477, 99, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314727, 4242, 1814, 1616, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314768, 5256, 1753, 1777, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314810, 5238, 1589, 1690, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314851, 4632, 865, 1488, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314893, 4089, 602, 1990, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314934, 4085, 447, 2204, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314976, 2995, 215, 1682, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315010, 2238, 80, 1515, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315045, 1891, 156, 2050, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315080, 2375, 1340, 2916, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315114, 1551, 28, 2273, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315149, 2057, 1316, 2569, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315184, 2234, 1345, 3034, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315218, 2066, 2604, 3396, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315253, 2056, 2234, 3248, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315288, 2152, 1850, 3014, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315322, 2135, 2356, 2635, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315357, 2139, 1881, 2599, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315392, 2127, 2323, 2518, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315427, 2093, 2111, 2590, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315466, 2172, 2353, 2661, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315506, 2034, 2438, 2606, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315545, 2129, 2400, 2716, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315585, 2132, 2423, 2541, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315625, 2122, 2371, 2512, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315664, 2177, 2312, 2486, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315704, 2238, 2413, 2478, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315743, 2182, 2169, 2314, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315783, 2198, 2490, 2406, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315823, 2166, 2706, 2510, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315862, 2046, 2722, 2531, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315902, 1939, 2992, 2580, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315942, 1670, 2768, 2386, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
315979, 1835, 2950, 2468, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316017, 1802, 2804, 2462, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316054, 1805, 2751, 2607, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316092, 1961, 2677, 2677, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316130, 1913, 2782, 2466, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316167, 2137, 2762, 2478, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316205, 2238, 2669, 2108, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316242, 2351, 2704, 2309, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316280, 2409, 2398, 2305, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316318, 2508, 2485, 2162, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316355, 2411, 2629, 2158, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316393, 2193, 2607, 2297, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316431, 2179, 2696, 2459, 96, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316469, 2001, 2496, 2344, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316507, 2044, 2898, 2449, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316545, 2010, 2897, 2316, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316583, 1669, 2834, 2260, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316621, 1791, 3042, 2447, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316659, 1895, 2940, 2360, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316697, 1932, 2868, 2298, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316735, 1873, 2790, 2302, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316773, 1722, 2855, 2315, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316811, 1706, 2994, 2436, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316849, 1603, 3062, 2382, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316887, 1535, 3061, 2328, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316925, 1523, 3068, 2337, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
316964, 1465, 3091, 2309, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
317003, 1464, 3053, 2308, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
317042, 1491, 3071, 2319, 95, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
