382998, 3212, 1714, 1988, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383566, 2632, 1855, 2649, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383601, 2531, 1663, 2755, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383637, 2557, 1883, 2690, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383672, 2493, 1835, 2746, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383708, 2494, 1845, 2767, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383749, 2443, 1766, 2807, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383791, 2457, 1996, 2724, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383832, 2649, 1819, 2771, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383874, 3004, 2169, 2505, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383915, 2750, 1332, 2560, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383957, 2973, 832, 3164, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383998, 4402, 2313, 1609, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384040, 5022, 1061, 2311, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384081, 4104, 614, 2412, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384123, 3173, 391, 2323, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384158, 2918, 51, 3525, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384194, 2948, 387, 3386, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384230, 3111, 619, 3298, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384266, 2901, 1104, 2576, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384302, 3217, 818, 2426, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384338, 3295, 623, 2193, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384374, 3469, 493, 2186, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384410, 3291, 4, 1635, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384446, 2730, 1280, 2886, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384482, 2291, 859, 2256, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384518, 2901, 777, 2753, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384556, 2802, 696, 2601, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384595, 2825, 719, 2417, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384634, 2828, 486, 2713, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384673, 2938, 409, 2728, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384712, 2731, 427, 2652, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384751, 2760, 570, 3092, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384790, 2558, 509, 2823, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384829, 2672, 1188, 3483, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384868, 2405, 705, 2983, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384907, 2425, 1036, 3314, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384948, 2490, 938, 3276, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
384989, 2322, 664, 3177, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385030, 1909, 1298, 3021, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385071, 2077, 1501, 3094, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385112, 1993, 1747, 3188, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385153, 2013, 1599, 3298, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385194, 1962, 1635, 3296, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385235, 1899, 1715, 3452, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385276, 1723, 1510, 3332, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385317, 1776, 1773, 3458, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385353, 1810, 1680, 3369, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385390, 1825, 1775, 3353, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385427, 1832, 1621, 3342, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385464, 1795, 1820, 3314, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385501, 1631, 1939, 3230, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385537, 1631, 2020, 3161, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385574, 1469, 2057, 3281, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385611, 1398, 2142, 3297, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
385648, 1280, 2137, 3341, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
