267138, 2817, 1341, 2739, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268329, 2656, 1300, 2870, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268371, 2609, 1311, 2859, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268413, 3059, 1109, 2806, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268449, 2719, 1647, 2733, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268486, 3001, 1517, 2736, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268523, 3272, 1510, 2950, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268560, 3265, 808, 2732, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268597, 4285, 983, 2551, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268634, 4216, 1092, 1497, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268671, 3399, 630, 961, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268708, 3535, 170, 2375, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268745, 3774, 919, 1941, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268782, 3512, 778, 1604, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268819, 3319, 625, 1568, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268858, 3607, 1143, 1254, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268897, 3564, 592, 1653, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268936, 3742, 738, 1983, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268975, 3956, 1157, 1912, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269014, 3757, 1080, 1587, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269053, 3725, 979, 1567, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269092, 3690, 1095, 1422, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269131, 3608, 1184, 1171, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269170, 3491, 1344, 1102, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269210, 3472, 1258, 1103, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269253, 3525, 1443, 1179, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269297, 3322, 1146, 1251, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269340, 3532, 1419, 1303, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269384, 3915, 2533, 1872, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269427, 3450, 1875, 1496, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269471, 3356, 1562, 1336, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269514, 3310, 1422, 1368, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269558, 3304, 1820, 1842, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269601, 3108, 1717, 1850, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269645, 3133, 1843, 1904, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269676, 3146, 1837, 2085, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269708, 3066, 1672, 2147, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269740, 3095, 1596, 2275, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269771, 2918, 1763, 2408, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269803, 2916, 1797, 2526, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269835, 2846, 2016, 2088, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269867, 2685, 2089, 2146, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269898, 2521, 1967, 2328, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269930, 2187, 2235, 2302, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269962, 1914, 2193, 2333, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
269994, 1231, 3358, 3424, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270035, 1717, 2055, 3267, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270077, 1356, 2335, 3184, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270119, 2075, 2451, 2714, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270160, 2172, 1861, 2786, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270202, 2286, 2163, 2762, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270244, 2282, 2106, 2745, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270285, 1121, 1862, 3390, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270327, 2435, 1534, 2970, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270369, 2993, 1794, 2570, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270411, 2695, 1715, 2545, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270452, 3087, 1636, 2812, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270494, 2693, 1540, 2465, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270536, 2504, 1551, 2281, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270577, 2844, 1570, 2584, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270619, 2769, 1695, 2338, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270661, 2937, 1767, 2337, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270702, 2801, 1719, 2543, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270744, 2699, 1698, 2553, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270786, 2644, 1985, 2614, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270828, 2536, 2077, 2868, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270862, 2264, 1966, 2650, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270897, 2341, 2218, 2395, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270931, 2489, 2223, 2597, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
270966, 2562, 2065, 2567, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
