174515, 3176, 2436, 879, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175524, 4034, 2240, 2642, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175558, 4208, 2192, 1702, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175591, 6489, 2771, 1300, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175625, 4963, 1032, 1473, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175658, 4399, 980, 1788, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175692, 3097, 424, 1684, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175725, 2513, -74, 1339, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175759, 2131, -1162, 1673, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175792, 2055, -84, 1524, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175826, 1844, 483, -972, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175859, 1733, -312, 3269, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175893, 1569, 1941, 783, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175927, 1712, 2575, 2353, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175966, 1905, 3445, 2905, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176006, 2077, 2163, 2714, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176046, 2041, 1862, 2660, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176086, 2102, 2337, 2834, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176126, 1977, 2521, 2700, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176166, 1888, 2627, 2613, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176205, 1843, 2418, 2501, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176245, 1711, 2788, 2587, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176285, 1677, 2852, 2682, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176325, 1589, 2817, 2437, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176365, 1698, 2911, 2437, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176405, 1809, 2994, 2247, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176445, 1918, 2932, 2219, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176482, 1949, 3101, 2157, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176519, 1606, 2751, 2156, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176556, 1330, 2756, 2454, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176594, 945, 2841, 2775, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176631, 661, 3068, 2960, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176668, 487, 3255, 3230, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176706, 328, 3028, 2991, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176743, 1014, 3300, 2625, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176780, 1285, 2958, 2550, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176818, 1510, 2830, 2463, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176855, 1910, 3073, 2412, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176892, 1774, 2709, 2285, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176930, 1831, 2957, 2416, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
176968, 1756, 2947, 2262, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
177006, 1747, 2951, 2293, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
