113484, 3054, 2613, 997, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114545, 2933, 2231, 2653, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114584, 4402, 2405, 1621, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114624, 5048, 2542, 1725, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114664, 5324, 1760, 2748, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114703, 3938, 1095, 3087, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114743, 2985, 681, 2055, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114783, 2694, 665, 1918, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114822, 2514, -426, 1746, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114862, 2505, 1478, 4088, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114902, 2110, -757, 305, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114942, 800, 730, 2747, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114979, 1080, 2238, 1603, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
115017, 869, 1708, 2384, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
115054, 1482, 3722, 2864, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
115092, 1131, 2921, 2617, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
115130, 1648, 2832, 3042, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
115167, 1557, 2637, 2726, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
115205, 1850, 2323, 2655, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
115242, 1945, 2491, 2665, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
