436022, 3746, 871, 1365, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437498, 3519, 1111, 3090, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437528, 3263, 1520, 2693, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437558, 2964, 652, 2985, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437588, 2978, 1500, 3012, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437618, 2844, 1642, 2697, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437665, 2268, 1491, 2532, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437712, 2485, 1689, 3077, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437759, 2654, 1335, 3102, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437806, 3268, 1699, 2370, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437854, 3332, 1508, 2346, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437901, 3153, 1521, 2521, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437948, 3046, 986, 2172, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437995, 2954, 1091, 2345, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438042, 3353, 1334, 2692, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438090, 3010, 1730, 2762, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438122, 3098, 1148, 2400, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438155, 3041, 1213, 2320, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438187, 2970, 1055, 2463, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438220, 2896, 1115, 2663, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438253, 2944, 1287, 2167, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438285, 2774, 1164, 1789, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438318, 2913, 963, 3210, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438350, 2631, 618, 3086, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438383, 2820, 732, 3149, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438416, 2465, 770, 3136, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438454, 2485, 844, 2894, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438492, 2565, 960, 3296, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438531, 2435, 876, 3043, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438569, 2642, 1203, 3375, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438608, 2269, 969, 3097, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438646, 2402, 1071, 3225, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438685, 2480, 969, 3388, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438723, 2377, 966, 3001, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438762, 2483, 1060, 3154, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438800, 2502, 978, 3266, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438839, 2418, 855, 3113, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438877, 2529, 1197, 3268, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438916, 2504, 1048, 3093, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438954, 2417, 1257, 3099, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
438993, 2416, 1168, 3271, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439031, 2369, 1111, 3170, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439070, 2297, 1203, 3223, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439108, 2323, 1140, 3200, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439147, 2372, 1207, 3124, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439185, 2349, 1653, 3094, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439224, 2254, 1740, 3006, 77, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439263, 2123, 1717, 3076, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439302, 2172, 1763, 3267, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439341, 2122, 1774, 3088, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439380, 2036, 1680, 3059, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439419, 1998, 1804, 3237, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439458, 1951, 1781, 3181, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439497, 1995, 1825, 3201, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439536, 1987, 1799, 3193, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439575, 1979, 1781, 3181, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439615, 2015, 1785, 3055, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439651, 2117, 1778, 2983, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439688, 2147, 1751, 2995, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439725, 2228, 1778, 3096, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439761, 2288, 1912, 3287, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439798, 2261, 1839, 3141, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439835, 2218, 1731, 2831, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439872, 2242, 1764, 2814, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439908, 2293, 1794, 2958, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439945, 2255, 1788, 2924, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
439982, 2163, 1757, 2840, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440019, 2287, 1894, 3007, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440058, 2329, 1887, 3085, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440098, 2281, 1854, 2937, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440138, 2325, 1856, 2947, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440178, 2313, 1842, 2969, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440218, 2255, 1801, 2891, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440257, 2313, 1902, 2923, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440297, 2283, 1894, 2919, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440337, 2295, 1912, 2883, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440377, 2315, 1921, 2902, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440417, 2335, 1870, 2907, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440453, 2348, 1883, 2888, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440489, 2301, 1884, 2855, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440525, 2277, 1930, 2892, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
440561, 2249, 1930, 2900, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
