227494, 3000, 2426, 1340, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228418, 5539, 968, 678, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228456, 4941, 235, 1510, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228493, 4103, 398, 1538, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228531, 3346, -372, 1859, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228568, 3688, -292, 1926, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228606, 3002, -161, 1771, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228644, 2679, -387, 1966, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228688, 2121, 5883, 6144, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228733, 1571, -1562, 1180, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228777, 1199, 580, 1282, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228822, 1450, 1772, 3293, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228866, 1683, 1167, 3917, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228911, 2220, 2241, 4006, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228955, 2050, 1887, 3544, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229000, 1814, 1930, 2830, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229044, 1768, 1767, 2895, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229089, 1812, 1725, 3145, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229121, 1856, 1971, 3261, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229154, 1894, 2042, 3206, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229187, 1835, 2039, 2947, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229220, 1999, 2075, 3112, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229253, 2029, 2155, 3011, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229286, 2005, 2277, 3037, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229319, 2068, 2358, 3039, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229352, 1992, 2130, 2932, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229385, 2016, 1840, 2982, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229418, 1985, 1797, 2949, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229451, 1990, 1933, 2987, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229490, 2026, 2226, 3182, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229529, 1891, 2341, 2915, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229568, 1852, 2161, 2803, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229607, 1880, 1914, 3030, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229647, 1877, 2214, 2984, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229686, 1899, 1969, 3324, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229725, 1952, 2152, 3046, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229764, 2004, 1894, 3170, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229803, 2454, 1740, 3210, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229843, 2406, 1485, 3032, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229883, 2334, 1378, 3064, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229924, 2338, 1675, 3057, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
229964, 2313, 1588, 2998, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230005, 2293, 1542, 2819, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230045, 2452, 1783, 2942, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230086, 2544, 1812, 2892, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230126, 2513, 1683, 2755, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230167, 2482, 1791, 2717, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230207, 2363, 1761, 2961, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230248, 2207, 1782, 3099, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230289, 2097, 1990, 3112, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230327, 2048, 2015, 3040, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230365, 1952, 1993, 2921, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230403, 1898, 2139, 3084, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230441, 1901, 2186, 3079, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230479, 1900, 2203, 2937, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230517, 1780, 2242, 2915, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230555, 1808, 2277, 3055, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230593, 1774, 2285, 3036, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230631, 1690, 2308, 2968, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230670, 1596, 2323, 2947, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230708, 1599, 2354, 3014, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230746, 1646, 2405, 2976, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230785, 1653, 2357, 2963, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230823, 1697, 2306, 2974, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230862, 1777, 2302, 2999, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
230900, 1701, 2258, 2887, 96, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
