147235, 2639, 2817, 1445, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147762, 705, 2952, 2926, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147807, 562, 2802, 3081, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147852, 506, 2850, 3191, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147897, 533, 2627, 3297, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147942, 533, 3001, 3192, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147987, 640, 2800, 3292, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148032, 884, 3131, 3401, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148064, 1643, 2869, 2918, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148097, 2855, 1751, 3598, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148129, 5538, 3470, 2363, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148162, 5487, 2516, 2380, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148194, 3959, 1490, 2572, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148227, 3232, 449, 2519, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148259, 2304, 974, 1789, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148292, 2423, 307, 1476, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148324, 2162, 183, 1047, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148357, -19, 7935, 6604, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148390, 2816, -1608, 2213, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148431, 382, 2884, 1967, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148472, 404, 1854, 2480, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148514, 758, 1957, 4410, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148555, 855, 1892, 3801, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148597, 477, 2815, 2897, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148638, 881, 2501, 3154, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148679, 1012, 2582, 3095, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148721, 1105, 2710, 3013, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148762, 1235, 2494, 3028, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148804, 1414, 2466, 3005, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148841, 1446, 2537, 2861, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
148879, 1496, 2579, 2865, 81, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
