553195, 3412, 1607, 1798, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556030, 2262, 1247, 3099, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556074, 2157, 1376, 3185, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556119, 2138, 1191, 3112, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556164, 2091, 1379, 3240, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556198, 2124, 1404, 3266, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556232, 2117, 1227, 3236, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556266, 2087, 1485, 3273, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556301, 2021, 1383, 2913, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556335, 2066, 1660, 3299, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556369, 1941, 1487, 3355, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556404, 1804, 1570, 3098, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556438, 1814, 1778, 3413, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556472, 1846, 1800, 3226, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556507, 1882, 2012, 3236, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556544, 1793, 1809, 3446, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556581, 1688, 1711, 3249, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556619, 1676, 1745, 3221, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556656, 1701, 1987, 3409, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556693, 1555, 1979, 3408, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556731, 1405, 1888, 3294, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556768, 1275, 1946, 3354, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556805, 1286, 2071, 3394, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556843, 1207, 2077, 3469, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556880, 1226, 2066, 3447, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556918, 1390, 2031, 3249, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556958, 1493, 1997, 3187, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
556998, 1609, 2080, 3288, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557038, 1872, 2188, 3341, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557078, 1543, 2000, 3298, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557118, 1496, 2032, 3383, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557158, 1867, 1959, 3373, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557198, 1985, 1894, 3163, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557238, 2017, 1921, 3029, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557278, 2061, 2015, 2980, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557319, 2000, 1982, 3003, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557355, 1947, 1901, 3171, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557391, 1839, 1885, 3230, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557427, 1794, 1946, 3202, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557464, 1767, 1965, 3226, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557500, 1736, 1965, 3236, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557536, 1732, 2017, 3245, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557572, 1679, 2057, 3197, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557609, 1645, 2066, 3200, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557645, 1608, 2120, 3174, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557681, 1605, 2138, 3182, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557718, 1603, 2171, 3140, 73, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557760, 1616, 2147, 3123, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557802, 1610, 2170, 3148, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557844, 1609, 2146, 3175, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557886, 1627, 2148, 3157, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557929, 1665, 2164, 3153, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
557971, 1609, 2129, 3130, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558013, 1742, 2301, 3229, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558055, 1679, 2140, 3113, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558097, 1548, 2058, 3055, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558140, 1547, 2216, 3215, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558178, 1514, 2217, 3189, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558216, 1483, 2199, 3168, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558254, 1492, 2129, 3157, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558292, 1462, 2115, 3149, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558330, 1363, 2148, 3210, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558368, 1303, 2143, 3281, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558406, 1336, 2207, 3254, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558444, 1445, 2149, 3162, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558482, 1507, 2130, 3212, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558520, 1507, 2123, 3204, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558557, 1532, 2204, 3170, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
558595, 1546, 2232, 3155, 72, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
