463486, 3344, 1590, 1644, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465900, -24, 1767, 3973, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465936, -42, 1908, 3822, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465973, 694, 2042, 3561, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466009, 764, 1733, 3385, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466046, 947, 1917, 3711, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466082, 1137, 2101, 3639, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466119, 996, 1866, 3595, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466164, 1053, 1706, 3747, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466209, 1140, 1727, 3565, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466254, 1130, 1824, 3490, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466299, 1330, 1811, 3509, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466344, 1435, 1950, 3395, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466389, 1513, 2056, 3327, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466434, 1583, 2018, 3364, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466479, 1700, 1875, 3413, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466524, 1329, 1670, 3519, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466569, 1140, 1889, 3537, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466601, 931, 2028, 3450, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466634, 847, 2044, 3488, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
466667, 817, 2057, 3484, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
