64279, 3765, 988, 1387, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65330, 4064, -118, 2437, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65366, 3216, 231, 2202, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65403, 2931, 736, 2856, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65440, 2786, 888, 2430, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65486, 2730, 589, 1914, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65533, 3103, 859, 1314, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65579, 2802, 1770, 2463, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65626, 1612, -974, 1431, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65672, 2566, -87, 3493, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65719, 2680, 983, 2005, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65765, 2995, 587, 2225, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65812, 2639, 574, 3078, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65858, 2685, 484, 2666, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65905, 3173, 1101, 3068, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65936, 2682, 1169, 2868, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65967, 2637, 1346, 2746, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65998, 2695, 1306, 2926, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66030, 2596, 1261, 3073, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66061, 2521, 1082, 3017, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66092, 2567, 1239, 3176, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66123, 2581, 1322, 2944, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66155, 2614, 1394, 3052, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66186, 2854, 1485, 2811, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66217, 2641, 1463, 2660, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66249, 2474, 1456, 2867, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66290, 2339, 1472, 3084, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66332, 2126, 1381, 2989, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66373, 1884, 1659, 3289, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66415, 1865, 1762, 3381, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66457, 1827, 1929, 3303, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66498, 1746, 1900, 3182, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66540, 2040, 1876, 3062, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66581, 2310, 1763, 2942, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66623, 2393, 1695, 2980, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
66665, 2432, 1740, 2931, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
