275828, 2948, 2591, 1455, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276833, 3878, 659, 2119, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276874, 3095, 561, 1601, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276914, 2551, 288, 1326, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276955, 2371, 309, 1488, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276996, 2207, 411, 1265, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277036, 2421, 15617, 10617, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277077, 3131, -1290, 1538, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277118, -48, 3004, 1982, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277159, -178, 4008, 4627, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277197, 291, 1368, 3882, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277236, 1185, 2404, 3154, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277275, 1442, 2434, 2718, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277314, 1680, 2518, 2773, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277353, 1713, 2451, 2847, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277392, 1819, 2273, 2806, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277431, 1806, 2277, 2734, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277470, 1800, 2225, 2929, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
277509, 1688, 2322, 3180, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
