161567, 3105, 2477, 925, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163293, 1759, 2600, 2637, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163329, 1850, 2517, 2529, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163366, 1890, 2582, 2330, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163403, 1890, 2585, 2415, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163440, 1771, 2705, 2484, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163477, 1612, 2775, 2397, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163513, 1631, 2869, 2495, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163550, 1616, 3003, 2434, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163587, 1621, 2932, 2513, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163624, 1598, 2910, 2702, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163661, 1591, 2786, 2601, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163697, 1515, 2694, 2583, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163733, 1632, 2625, 2432, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163770, 1817, 2892, 2843, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163806, 1696, 2805, 2802, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163842, 1765, 2683, 2544, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163879, 1803, 2746, 2577, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163915, 1820, 2636, 2568, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163951, 1955, 2676, 2584, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163988, 1969, 2706, 2570, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164024, 2043, 2693, 2555, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164061, 2009, 2625, 2452, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164104, 2026, 2480, 2599, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164148, 2043, 2530, 2459, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164191, 2155, 2558, 2437, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164235, 2179, 2559, 2406, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164279, 2023, 2554, 2580, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164322, 1921, 2594, 2554, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164366, 1926, 2681, 2529, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164409, 1927, 2622, 2497, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164453, 1902, 2662, 2527, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
164497, 1870, 2686, 2518, 73, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
