367321, 3488, 1542, 1629, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367861, 2566, 1805, 2711, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367896, 2560, 1909, 2665, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367932, 2665, 1950, 2918, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367967, 2429, 1860, 2949, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368002, 1832, 2187, 2703, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368038, 1909, 2532, 2705, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368073, 2201, 2289, 2695, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368109, 2206, 2209, 2910, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368149, 1717, 2386, 2714, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368190, 1752, 2779, 2847, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368231, 2088, 2317, 2930, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368272, 1960, 2102, 3144, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368313, 2411, 2092, 2640, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368354, 2908, 1247, 3182, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368395, 3635, 775, 3556, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368436, 3603, 2467, 2410, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368477, 3941, 1045, 2342, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368518, 3659, 822, 2144, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368556, 3405, 585, 2614, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368594, 3126, 342, 2573, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368633, 2960, 475, 2990, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368671, 3024, 751, 3240, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368710, 2811, 1176, 2944, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368748, 3508, 920, 3229, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368786, 3018, 1066, 2239, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368825, 3007, 427, 2156, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368863, 2966, 604, 1607, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368902, 2782, 1549, 2895, 76, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368937, 2755, 926, 2876, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
368972, 2637, 506, 2814, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369007, 2697, 1119, 2831, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369043, 2750, 576, 2671, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369078, 2714, 379, 3090, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369113, 2486, 509, 2779, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369148, 2392, 754, 3032, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369184, 2313, 701, 3447, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369219, 2390, 818, 3555, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369254, 2335, 1105, 3312, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369290, 2235, 994, 2988, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369330, 2105, 1182, 3369, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369370, 2050, 997, 3232, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369410, 1892, 1691, 3203, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369450, 1963, 1467, 3521, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369491, 1780, 1580, 3408, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369531, 1194, 1398, 3638, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369571, 714, 1647, 3819, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369611, 398, 1461, 3944, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369651, 20, 1661, 3901, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369692, -94, 1628, 4040, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369729, 668, 2023, 3553, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369766, 1066, 1832, 3344, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369804, 1326, 1879, 3553, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369841, 1353, 1908, 3564, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369879, 1130, 1683, 3512, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369916, 1213, 1848, 3586, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369954, 1161, 1925, 3510, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
369991, 1108, 1873, 3479, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370029, 1037, 1867, 3432, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370066, 1142, 1935, 3501, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370104, 1195, 1844, 3513, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370148, 1160, 1857, 3539, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370193, 1281, 1798, 3540, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370238, 1285, 1790, 3517, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370282, 1381, 1879, 3451, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370327, 1451, 1882, 3497, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370372, 1386, 1766, 3449, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370416, 1336, 1776, 3428, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370461, 1275, 1756, 3550, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370506, 1157, 1655, 3682, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370551, 1106, 1935, 3599, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370588, 1098, 1999, 3530, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370626, 1110, 2025, 3475, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370663, 1056, 2056, 3380, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370701, 963, 1890, 3573, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370739, 1134, 1821, 3535, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
370776, 1159, 2018, 3440, 75, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
