347212, 3763, 887, 1613, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348232, 2961, 1469, 2766, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348272, 2894, 1696, 2830, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348313, 2934, 1268, 2690, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348353, 3507, 1502, 3167, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348393, 3280, 1926, 2166, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348434, 5006, 1449, 1361, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348472, 4773, 1043, 2405, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348511, 4065, 603, 1751, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348549, 3975, 972, 2106, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348588, 3369, 693, 1963, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348627, 3241, 671, 2699, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348665, 2869, 621, 2500, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348704, 2945, 249, 2776, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348742, 2860, 727, 2479, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348781, 2488, 838, 3177, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348820, 2923, 1237, 2101, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348856, 3016, 567, 1751, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348893, 2949, 835, 1609, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348930, 3347, 402, 2431, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348966, 2969, 309, 2420, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349003, 3026, 378, 2512, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349040, 2990, 339, 3079, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349077, 2884, 18, 2250, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349113, 3155, 807, 2598, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349150, 3204, 602, 2324, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349187, 3430, 1008, 2550, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349224, 3119, 729, 2728, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349263, 3296, 715, 2404, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349302, 3129, 821, 2795, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349341, 3082, 569, 2541, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349380, 3136, 557, 2562, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349420, 3078, 691, 2745, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349459, 3078, 684, 2909, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349498, 3083, 740, 2664, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349537, 3118, 802, 2731, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349576, 3117, 754, 2637, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349616, 3061, 692, 2575, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349656, 3052, 762, 2631, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349696, 3058, 795, 2606, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349736, 3153, 736, 2652, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349776, 3120, 733, 2710, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349817, 3150, 699, 2707, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349857, 3098, 785, 2613, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349897, 3122, 870, 2716, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349937, 2976, 817, 2503, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
349977, 3034, 946, 2682, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350018, 3006, 1034, 2556, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350061, 2987, 987, 2623, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350105, 2918, 1020, 2683, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350149, 3093, 1022, 2642, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350192, 3067, 1009, 2477, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350236, 2967, 1180, 2602, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350280, 2908, 1163, 2662, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350324, 2805, 1125, 2669, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350367, 2658, 1246, 2813, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350411, 2617, 1237, 3080, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350455, 2651, 1350, 3058, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350499, 2873, 1272, 2588, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350533, 2945, 1146, 2624, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350567, 2952, 1136, 2661, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350602, 3037, 1228, 2587, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350636, 2962, 1214, 2533, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350671, 2943, 1274, 2654, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350705, 2991, 1436, 2711, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350739, 2774, 1217, 2718, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350774, 2993, 1484, 2642, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350808, 2830, 1218, 2432, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350843, 3050, 1295, 2596, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350880, 3100, 1290, 2662, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350917, 2770, 1191, 2209, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350955, 3302, 1312, 2731, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
350992, 3255, 906, 2701, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351030, 3125, 1384, 2394, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351067, 2998, 1176, 2505, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351105, 3069, 1169, 2567, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351142, 3168, 1214, 2572, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351180, 3133, 1285, 2517, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351217, 3066, 1432, 2436, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351255, 3077, 1368, 2459, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351291, 3112, 1235, 2512, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351328, 3077, 1175, 2473, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351365, 3125, 1153, 2553, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351401, 3104, 1133, 2547, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351438, 3140, 1089, 2450, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351475, 3068, 1063, 2422, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351511, 3115, 1199, 2468, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351548, 3104, 1071, 2452, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351585, 3106, 1099, 2482, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351622, 3075, 1161, 2523, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351663, 3100, 1222, 2506, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351704, 3085, 1200, 2477, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351745, 3067, 1215, 2458, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351787, 3144, 1202, 2535, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351828, 3200, 1142, 2536, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351869, 3162, 1143, 2466, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351911, 3100, 1150, 2434, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351952, 2992, 1347, 2545, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
351993, 2953, 1442, 2611, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352035, 2919, 1467, 2572, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352075, 2934, 1413, 2496, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352116, 3017, 1377, 2571, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352157, 3115, 1420, 2624, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352198, 2897, 1516, 2579, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352239, 2768, 1399, 2432, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352279, 2901, 1414, 2607, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352320, 2954, 1446, 2637, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
352361, 2927, 1394, 2574, 83, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
