139891, 1589, 1689, 3668, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142131, 806, 1073, 2228, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142173, -21, 3721, 902, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142215, -389, 1936, 1060, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142257, -670, 721, 1228, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142299, 1035, 1007, 4059, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142340, 782, 1303, 2626, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142382, 2355, 1342, 3174, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142424, 2866, 1446, 3744, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142466, 3791, 1392, 3440, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142508, 5463, 2234, 6179, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142542, 2107, -1247, 3416, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142576, 3177, 1036, 2396, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142610, 2827, 866, 2927, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142644, 2885, 349, 3037, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142678, 2571, 1075, 3220, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142712, 2574, 1062, 2785, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142746, 2676, 1779, 2585, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142780, 2997, 1597, 2680, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142814, 2850, 1029, 3149, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142848, 2784, 1027, 2986, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142883, 2901, 1017, 2943, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142928, 2764, 678, 2996, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142973, 2598, 1050, 3158, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
