168054, 2874, 661, 2988, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168855, 4480, 1406, 3286, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168893, 4246, 947, 2088, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168931, 3867, 970, 1212, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168969, 3428, 43, 2818, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169007, 4645, 421, 3540, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169045, 3176, -1480, 2740, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169083, 2303, -259, 2058, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169121, 1999, 706, 2600, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169159, 3286, 1821, 4091, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169197, 2722, 1650, 2366, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169236, 2455, 1071, 2447, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169273, 2078, 977, 2706, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169310, 2528, 418, 3450, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169347, 2365, 664, 2976, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169384, 2368, 1414, 2737, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169422, 2269, 1297, 3087, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169459, 2322, 1113, 3313, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169496, 1855, 972, 3406, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169533, 1846, 1050, 3523, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169570, 1579, 955, 3694, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169608, 1268, 1061, 3628, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169653, 1144, 1278, 3696, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169698, 693, 1269, 3734, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169743, 511, 1362, 3898, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169788, 211, 1243, 3770, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169834, 633, 982, 4147, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169879, 1011, 1531, 3668, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169924, 1187, 1484, 3607, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
169969, 1222, 1010, 3880, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170014, 1142, 1169, 3827, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170060, 1217, 1349, 3584, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170094, 1378, 1508, 3600, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170128, 1428, 1536, 3617, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170163, 1589, 1618, 3536, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170197, 1705, 1464, 3516, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170231, 1816, 1351, 3584, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170266, 1998, 1426, 3554, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170300, 2052, 1566, 3293, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170334, 2152, 1626, 3389, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170369, 1660, 1343, 3478, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170403, 1513, 1323, 3699, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170438, 1485, 1520, 3588, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170475, 1467, 1463, 3545, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170512, 1538, 1452, 3655, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170549, 1546, 1417, 3643, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170586, 1508, 1306, 3693, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170623, 1599, 1134, 3771, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170660, 1556, 1405, 3629, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170697, 1431, 1023, 3548, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170734, 1327, 415, 3792, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170771, 1200, 522, 3711, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170809, 1482, 903, 3840, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170848, 1481, 872, 3658, 94, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170887, 1512, 865, 3724, 94, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170926, 1602, 958, 3868, 94, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
170966, 1556, 1027, 3755, 94, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
