156248, 2879, 2110, 2057, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157357, 5453, 914, 1916, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157392, 4448, 271, 1648, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157428, 3631, 137, 1759, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157463, 3075, -240, 1365, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157499, 2730, 60, 1204, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157534, 2654, 31, 963, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157570, 2278, -152, 1023, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157606, 1876, 4273, 10906, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157647, 2588, -6343, 4642, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157689, 891, 2566, 3357, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157730, 918, 1787, 3184, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157772, 1601, 1056, 3547, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157814, 1426, 1493, 3713, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157855, 1784, 1683, 3651, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157897, 1843, 1741, 3242, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157938, 1571, 1979, 3400, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157980, 1761, 1845, 3145, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158022, 1511, 1790, 3498, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158062, 1223, 1974, 3403, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158102, 1294, 2007, 3151, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158142, 1407, 2206, 3005, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158182, 1260, 2099, 3633, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158222, 1201, 1955, 3536, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158262, 997, 1984, 3456, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158302, 992, 2004, 3535, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158342, 825, 2291, 3522, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158382, 866, 2380, 3357, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158423, 1215, 2015, 3326, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158456, 1462, 1958, 3277, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158489, 1450, 1772, 3405, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158522, 1701, 1674, 3701, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158555, 1439, 2096, 3456, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158588, 1556, 1890, 3466, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158621, 1349, 2010, 3283, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158654, 1479, 2132, 3289, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158687, 1436, 1961, 3483, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158720, 1638, 2104, 3468, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158753, 1678, 2024, 3075, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158787, 1462, 1946, 2853, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158828, 1845, 2043, 2857, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158869, 1809, 2147, 2862, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158910, 1961, 2229, 2654, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158951, 1966, 2251, 2842, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
158992, 1674, 1963, 3300, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
159033, 1460, 2106, 3279, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
159074, 1393, 2242, 3244, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
159115, 1425, 2150, 3241, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
159156, 1474, 2131, 3261, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
