99932, 3500, 1899, 924, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100522, 2333, 2574, 2439, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100561, 2418, 2434, 2477, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100600, 2718, 2702, 2409, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100639, 2943, 2285, 2481, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100679, 2990, 1934, 3036, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100718, 4064, 3283, 3171, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100757, 6213, 2845, 1391, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100796, 4818, 1541, 1553, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100835, 3787, 401, 1568, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100875, 2795, -77, 1110, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100913, 2548, 1379, 1534, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100951, 2807, 1302, 1980, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100989, 2551, 1356, 1408, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101027, 2538, 3400, 11169, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101065, 2811, 110, 2446, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101103, 2471, 1351, 1642, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101141, 2459, 1684, 1640, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101179, 2882, 1085, 2405, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101217, 2636, 1628, 2957, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101255, 2586, 1484, 2503, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101293, 2717, 1419, 2566, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101333, 2562, 2142, 2686, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101374, 2654, 1659, 2812, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101414, 2612, 1562, 2813, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101455, 2634, 1749, 2684, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101496, 2561, 1727, 2691, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101536, 2375, 1975, 2611, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101577, 2337, 2036, 2890, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101617, 2236, 2041, 2756, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101658, 2163, 2206, 2769, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101699, 2048, 2064, 2867, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
101734, 1860, 2133, 2904, 74, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
