282034, 1621, 1511, 3536, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282800, 2294, 1384, 3735, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282839, 2641, 1142, 4386, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282879, 2950, 1302, 3323, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282919, 3071, 862, 2691, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282954, 3175, 406, 3628, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282989, 3403, 335, 3576, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283024, 2751, 567, 2595, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283059, 2704, 1273, 2646, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283094, 2372, 764, 2829, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283129, 2292, 510, 2885, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283164, 2614, 622, 2810, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283199, 2675, 1181, 2283, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283234, 2928, 1991, 5662, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283269, 2717, 792, 1545, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283305, 2693, 2052, 2644, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283345, 2960, 1141, 1951, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283385, 2765, 458, 2038, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283425, 3008, 599, 2887, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283466, 2763, 602, 2997, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283506, 2835, 523, 3004, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283546, 2776, 861, 2872, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283587, 3049, 1653, 2496, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283627, 2450, 1430, 2670, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283667, 2473, 1462, 3114, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283708, 2322, 1355, 2844, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283748, 2471, 1676, 3014, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283789, 2110, 1542, 3125, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283830, 1881, 1669, 3242, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283871, 2415, 1494, 2676, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283912, 2563, 1576, 2921, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283952, 2604, 1280, 2841, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
283993, 2931, 1268, 2863, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
284034, 2801, 1193, 2844, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
284075, 2875, 981, 2955, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
284116, 2901, 959, 2894, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
284152, 3084, 1091, 2722, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
284189, 2926, 1189, 2779, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
284225, 2919, 1140, 2747, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
284262, 2920, 1089, 2786, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
