126734, 3074, 2496, 1225, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127600, 1815, 3362, 1803, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127637, 1537, 3469, 2053, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127675, 1449, 3344, 2139, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127714, 1619, 3494, 2471, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127752, 1582, 2952, 2059, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127791, 1166, 3130, 1684, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127829, 1131, 2930, 1870, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127868, 1222, 2214, 1726, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127906, 1558, 2772, 1591, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127945, 2010, 3186, 1555, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127983, 2044, 3366, 1450, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128022, 2262, 4026, 2543, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128061, 2737, 3382, 2819, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128101, 2420, 3003, 2403, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128140, 1781, 2703, 2092, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128180, 2291, 3516, 2425, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128219, 1970, 2761, 2075, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128259, 2375, 3077, 1840, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128298, 2232, 2539, 1624, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128338, 2586, 2835, 1509, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128377, 2519, 2633, 1734, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128417, 2221, 2919, 2370, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128459, 2460, 1896, 2001, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128501, 2232, 2727, 2090, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128544, 2181, 2204, 1646, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128586, 2314, 3129, 2025, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128629, 2361, 2269, 1868, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128671, 2503, 2857, 2494, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128714, 2189, 2389, 2358, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128756, 2393, 2312, 2682, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128799, 2174, 2284, 2628, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128841, 2159, 2315, 2431, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128884, 2446, 2346, 2545, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128919, 2230, 2446, 2364, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128954, 2311, 2245, 2096, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
128990, 2199, 2742, 2362, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129025, 2350, 2298, 2236, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129061, 2374, 2475, 2308, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129096, 2275, 2256, 2506, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129131, 2293, 2441, 2564, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129167, 2381, 2327, 2382, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129202, 2373, 2459, 2496, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129238, 2399, 2487, 2331, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129275, 2340, 2443, 2152, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129313, 2468, 2750, 2636, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129351, 2328, 2678, 2524, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129389, 2294, 2603, 2400, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129427, 2197, 2567, 2314, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129465, 2132, 2681, 2395, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129503, 2097, 2729, 2466, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129541, 1962, 2674, 2356, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129579, 1744, 2659, 2386, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129617, 1551, 2706, 2382, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129653, 1499, 2645, 2403, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129689, 1554, 2675, 2390, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129726, 1456, 2697, 2416, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129762, 1428, 2730, 2502, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129798, 1488, 3091, 2820, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129835, 1512, 3253, 3109, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129871, 1697, 2692, 2303, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129907, 1968, 2683, 2025, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129944, 2191, 3020, 2155, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
129980, 2202, 2998, 2113, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130017, 2062, 2751, 1908, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130059, 2121, 3076, 2071, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130101, 2206, 3102, 2112, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130143, 2262, 2807, 1960, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130186, 2419, 2771, 2066, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130228, 2451, 2678, 1991, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130270, 2435, 2571, 2041, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130313, 2382, 2699, 2121, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130355, 2338, 2667, 2131, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130397, 2289, 2764, 2128, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130440, 2320, 2799, 2056, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130474, 2363, 2767, 1997, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130508, 2379, 2712, 2011, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130542, 2307, 2797, 2001, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130576, 2307, 2719, 2030, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130610, 2311, 2716, 2037, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130644, 2261, 2643, 2025, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130678, 2285, 2900, 2110, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130712, 2332, 2751, 2010, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130746, 2248, 2468, 1852, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130780, 2638, 2930, 2166, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130814, 2734, 2554, 2146, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130859, 2556, 2959, 1923, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130904, 2332, 2598, 1929, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130949, 2360, 2741, 1978, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
130995, 2507, 2761, 1989, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131040, 2433, 2690, 1874, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131085, 2333, 2968, 1899, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131131, 2315, 2893, 1941, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131176, 2286, 2767, 1992, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131221, 2246, 2794, 2039, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131267, 2282, 2880, 1987, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131306, 2288, 2828, 1892, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131346, 2258, 2873, 1954, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131386, 2251, 2918, 1958, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131425, 2286, 2818, 1982, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131465, 2290, 2787, 2002, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131505, 2279, 2862, 2013, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131544, 2220, 2857, 1992, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131584, 2208, 2869, 1992, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131624, 2196, 2832, 1965, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131664, 2194, 2872, 1977, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131696, 2190, 2878, 2012, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131729, 2181, 2908, 2031, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131762, 2173, 2860, 2020, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131794, 2128, 2826, 2046, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131827, 2095, 2892, 2058, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131860, 2107, 2900, 2061, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
131893, 2138, 2895, 2046, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
