252970, 2923, 1617, 2520, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254180, 3577, 1291, 2083, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254222, 3639, 1117, 978, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254265, 4099, 1665, 1692, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254307, 4021, 1226, 1434, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254350, 4267, 1325, 1174, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254392, 4244, 262, 1021, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254435, 3931, 1153, 479, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254468, 3575, 827, 437, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254501, 3643, 886, 540, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254534, 3717, 958, 903, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254567, 3924, 538, 971, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254600, 3884, 820, 683, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254633, 4063, 1377, 632, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254666, 4123, 513, 770, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254699, 4074, 799, 700, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254732, 4081, 957, 668, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254765, 3722, 947, 342, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254799, 3796, 1005, 176, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254839, 3601, 1335, 248, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254880, 3948, 1311, 923, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254920, 3911, 1336, 804, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254961, 3727, 1419, 837, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255001, 3609, 1390, 544, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255042, 3747, 1418, 733, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255082, 3672, 1080, 907, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255123, 3684, 1313, 1396, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255163, 3628, 1313, 1560, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255204, 3749, 1186, 1370, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255244, 3604, 1475, 1610, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255285, 3507, 1049, 1711, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255325, 3337, 1224, 2030, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255366, 3200, 1354, 2159, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255406, 3337, 1350, 2150, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255447, 3200, 1390, 2248, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255487, 3285, 1205, 1964, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255528, 3150, 1477, 2426, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255568, 2864, 1511, 2866, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255609, 3025, 1437, 2365, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255644, 3082, 1314, 2407, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255679, 3121, 1416, 2307, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255715, 3051, 1577, 2352, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255750, 3109, 1451, 2421, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255786, 2970, 1463, 2354, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255821, 2727, 1959, 2546, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255857, 2377, 1773, 2950, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255892, 2438, 1742, 2805, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255928, 2230, 1786, 2768, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255963, 2146, 2133, 2862, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
255999, 2270, 2181, 2412, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256039, 2471, 2299, 2497, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256080, 2593, 2190, 2417, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256121, 2500, 2244, 2468, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256162, 2553, 2257, 2429, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256203, 2535, 2190, 2385, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256244, 2560, 2221, 2415, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256285, 2560, 2231, 2337, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256326, 2777, 2211, 2247, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256367, 2678, 2288, 2249, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256408, 2620, 2341, 2226, 102, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256446, 2582, 2280, 2271, 101, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256484, 2620, 2296, 2253, 101, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256522, 2631, 2291, 2231, 101, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256560, 2637, 2317, 2246, 101, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256598, 2611, 2297, 2268, 101, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256636, 2558, 2290, 2253, 101, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
256674, 2569, 2351, 2266, 101, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
