58534, 1420, 1631, 3616, 47, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59178, 1698, 1502, 3482, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59214, 1763, 1458, 3486, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59251, 1720, 1376, 3526, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59288, 1671, 1392, 3516, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59329, 1669, 1418, 3529, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59371, 1628, 1476, 3533, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59412, 1651, 1381, 3557, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59454, 1654, 1429, 3545, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59495, 1679, 1440, 3516, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59537, 1708, 1428, 3515, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59578, 1702, 1421, 3523, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59620, 1702, 1422, 3518, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59661, 1721, 1401, 3526, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59703, 1702, 1390, 3517, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59741, 1699, 1398, 3523, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59779, 1706, 1418, 3510, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59817, 1690, 1392, 3529, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59855, 1699, 1401, 3536, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59893, 1694, 1388, 3531, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59931, 1700, 1394, 3540, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59969, 1676, 1389, 3524, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60007, 1671, 1392, 3536, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60045, 1681, 1380, 3529, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60083, 1712, 1390, 3542, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60123, 1699, 1377, 3534, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60163, 1679, 1372, 3541, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60204, 1692, 1362, 3537, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60244, 1687, 1369, 3533, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60284, 1682, 1366, 3543, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60325, 1674, 1390, 3538, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60365, 1684, 1354, 3553, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60405, 1672, 1390, 3537, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60446, 1668, 1347, 3554, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60486, 1679, 1357, 3543, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60527, 1665, 1322, 3555, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60570, 1661, 1361, 3552, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60613, 1646, 1353, 3560, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60656, 1653, 1347, 3554, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60699, 1664, 1376, 3557, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60742, 1658, 1359, 3559, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60785, 1677, 1360, 3562, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60828, 1666, 1377, 3557, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60871, 1651, 1342, 3567, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60914, 1648, 1343, 3564, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60958, 1661, 1386, 3544, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
60989, 1678, 1322, 3576, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61021, 1664, 1359, 3560, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61053, 1661, 1352, 3559, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61085, 1676, 1353, 3552, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61117, 1656, 1351, 3556, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61149, 1658, 1355, 3559, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61181, 1678, 1361, 3558, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61213, 1663, 1351, 3548, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61245, 1658, 1340, 3568, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61277, 1645, 1360, 3565, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61309, 1646, 1345, 3578, 49, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61348, 1679, 1358, 3550, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61388, 1651, 1367, 3558, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61428, 1634, 1376, 3578, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61468, 1691, 1346, 3553, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61508, 1654, 1348, 3554, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61548, 1649, 1322, 3564, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61588, 1637, 1329, 3570, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61628, 1659, 1360, 3579, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61668, 1672, 1327, 3577, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61708, 1669, 1361, 3570, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61749, 1650, 1330, 3580, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61790, 1664, 1331, 3562, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61831, 1663, 1310, 3580, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61872, 1657, 1361, 3553, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61913, 1649, 1352, 3564, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61954, 1645, 1328, 3568, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
61995, 1656, 1349, 3546, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62036, 1675, 1366, 3577, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62077, 1649, 1359, 3559, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62118, 1671, 1349, 3553, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62154, 1662, 1342, 3552, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62190, 1671, 1360, 3561, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62227, 1657, 1348, 3567, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62263, 1647, 1345, 3564, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62299, 1645, 1350, 3552, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62336, 1671, 1352, 3571, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62372, 1682, 1348, 3581, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62408, 1648, 1360, 3557, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62445, 1650, 1340, 3570, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62481, 1660, 1343, 3563, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62518, 1675, 1348, 3572, 51, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62555, 1664, 1348, 3570, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62592, 1676, 1334, 3545, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62629, 1628, 1354, 3554, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62666, 1659, 1361, 3556, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62703, 1669, 1370, 3564, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62740, 1675, 1373, 3559, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62777, 1668, 1384, 3556, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62814, 1643, 1373, 3563, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62851, 1670, 1340, 3553, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62889, 1669, 1361, 3560, 53, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62928, 1646, 1387, 3560, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
62967, 1652, 1354, 3570, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63006, 1647, 1379, 3547, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63045, 1662, 1370, 3572, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63084, 1678, 1374, 3565, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63123, 1650, 1359, 3543, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63162, 1668, 1387, 3544, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63201, 1660, 1382, 3556, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63240, 1663, 1332, 3570, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63279, 1645, 1275, 3514, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63318, 1656, 1366, 3563, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63355, 1657, 1358, 3549, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63392, 1660, 1397, 3533, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63429, 1687, 1383, 3523, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63466, 1678, 1410, 3536, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63503, 1684, 1433, 3528, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
63540, 1658, 1416, 3501, 55, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
