528503, 3178, 1338, 1939, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531140, 3508, 1584, 1470, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531177, 3531, 1583, 1462, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531213, 3528, 1597, 1470, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531250, 3542, 1584, 1469, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531287, 3517, 1586, 1445, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531329, 3543, 1607, 1481, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531371, 3541, 1600, 1470, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531413, 3526, 1582, 1459, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531455, 3541, 1568, 1492, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531497, 3540, 1595, 1474, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531539, 3541, 1594, 1461, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531581, 3544, 1569, 1456, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531623, 3539, 1568, 1446, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531665, 3542, 1586, 1473, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531707, 3531, 1588, 1486, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531743, 3537, 1598, 1462, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531779, 3522, 1619, 1460, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531816, 3550, 1583, 1457, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531852, 3545, 1598, 1472, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531889, 3528, 1601, 1473, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531925, 3531, 1612, 1463, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531962, 3530, 1584, 1476, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531998, 3511, 1588, 1494, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532035, 3521, 1577, 1456, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532071, 3517, 1613, 1469, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532108, 3535, 1597, 1471, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532147, 3527, 1594, 1468, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532187, 3524, 1589, 1470, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532226, 3536, 1627, 1467, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532266, 3530, 1607, 1484, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532305, 3529, 1623, 1500, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532345, 3531, 1606, 1486, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532384, 3523, 1605, 1486, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532424, 3529, 1602, 1484, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532463, 3519, 1584, 1460, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532503, 3527, 1601, 1494, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532541, 3539, 1573, 1460, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532580, 3511, 1604, 1500, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532619, 3532, 1603, 1477, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532658, 3527, 1629, 1475, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532697, 3550, 1590, 1493, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532736, 3526, 1605, 1491, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532775, 3526, 1637, 1492, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532814, 3529, 1598, 1478, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532853, 3529, 1625, 1490, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532892, 3514, 1599, 1474, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532927, 3515, 1611, 1490, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532963, 3532, 1602, 1483, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
532999, 3518, 1607, 1480, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533034, 3537, 1606, 1461, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533070, 3527, 1611, 1482, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533106, 3502, 1616, 1492, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533142, 3535, 1608, 1502, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533177, 3522, 1617, 1491, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533213, 3529, 1584, 1471, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533249, 3506, 1579, 1476, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533285, 3544, 1586, 1477, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533329, 3506, 1597, 1479, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533373, 3520, 1599, 1472, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533418, 3534, 1614, 1470, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533462, 3535, 1592, 1474, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533507, 3551, 1597, 1461, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533551, 3526, 1601, 1466, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533595, 3544, 1587, 1450, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533640, 3530, 1587, 1446, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533684, 3551, 1585, 1435, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533729, 3525, 1631, 1453, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533762, 3543, 1626, 1440, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533795, 3549, 1595, 1454, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533828, 3551, 1647, 1405, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533861, 3575, 1616, 1442, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533894, 3570, 1603, 1400, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533927, 3556, 1560, 1392, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533960, 3568, 1641, 1439, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
533993, 3544, 1546, 1440, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
534026, 3577, 1620, 1497, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
