97877, 2134, 2133, 2836, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99483, 2082, 2219, 2839, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99528, 2071, 2226, 2833, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99572, 2068, 2209, 2838, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99617, 2067, 2249, 2808, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99648, 2065, 2219, 2839, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99679, 2050, 2198, 2844, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99710, 2071, 2255, 2811, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99742, 2045, 2197, 2838, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99773, 2061, 2219, 2813, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99804, 2077, 2229, 2822, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99835, 2044, 2231, 2825, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99867, 2065, 2208, 2827, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99898, 2042, 2233, 2817, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99929, 2047, 2254, 2816, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99961, 2060, 2252, 2827, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100002, 2045, 2244, 2821, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100043, 2049, 2225, 2813, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100084, 2048, 2268, 2794, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100125, 2044, 2282, 2819, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100166, 2040, 2278, 2820, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100207, 2044, 2259, 2810, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100248, 2047, 2262, 2810, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100289, 2039, 2255, 2807, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100330, 2035, 2262, 2811, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100372, 2029, 2257, 2814, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100412, 2017, 2284, 2818, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100452, 2040, 2247, 2805, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100493, 2054, 2280, 2801, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100533, 2050, 2268, 2809, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100574, 2027, 2279, 2807, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100614, 2022, 2283, 2829, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100654, 2031, 2267, 2820, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100695, 2008, 2280, 2802, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100735, 2020, 2311, 2800, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100776, 2023, 2283, 2822, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100811, 2007, 2289, 2813, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100846, 2019, 2289, 2806, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100881, 1997, 2284, 2809, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100916, 2014, 2294, 2840, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100951, 2004, 2305, 2803, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
100986, 1994, 2292, 2810, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101021, 2006, 2287, 2791, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101056, 2024, 2285, 2810, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101091, 2008, 2295, 2808, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101126, 2002, 2312, 2820, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101162, 2024, 2303, 2808, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101205, 2012, 2305, 2806, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101248, 2028, 2301, 2799, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101291, 1996, 2326, 2838, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101334, 1997, 2346, 2811, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101377, 1975, 2332, 2817, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101420, 2031, 2303, 2812, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101463, 2019, 2272, 2815, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101506, 2019, 2302, 2806, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101549, 1998, 2304, 2793, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101592, 2002, 2307, 2816, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101625, 2006, 2311, 2808, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101658, 1984, 2344, 2811, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101691, 2013, 2290, 2808, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101724, 2009, 2290, 2804, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101757, 1995, 2314, 2800, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101790, 1999, 2321, 2800, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101823, 2007, 2288, 2804, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101856, 1997, 2346, 2793, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101889, 2017, 2310, 2792, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101922, 1988, 2314, 2797, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
101956, 2001, 2319, 2816, 91, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102002, 2020, 2297, 2820, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102049, 2016, 2308, 2802, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102095, 1997, 2282, 2818, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102142, 1988, 2292, 2802, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102188, 1991, 2314, 2793, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102235, 1989, 2290, 2766, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102281, 2018, 2326, 2816, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
102328, 2033, 2235, 2765, 90, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
