71830, 2684, 1375, 2800, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74325, 2791, 1447, 2710, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74367, 2789, 1430, 2714, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74410, 2800, 1463, 2711, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74444, 2795, 1435, 2710, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74479, 2787, 1465, 2705, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74514, 2792, 1469, 2722, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74549, 2790, 1455, 2705, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74584, 2789, 1465, 2711, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74618, 2777, 1449, 2718, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74653, 2788, 1462, 2709, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74688, 2760, 1457, 2722, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74723, 2768, 1437, 2725, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74758, 2760, 1460, 2701, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74793, 2812, 1444, 2696, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74833, 2789, 1452, 2721, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74874, 2778, 1451, 2719, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74914, 2790, 1463, 2686, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74955, 2792, 1482, 2717, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74995, 2816, 1451, 2700, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75036, 2771, 1453, 2706, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75076, 2806, 1451, 2713, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75117, 2807, 1466, 2709, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75157, 2796, 1424, 2695, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75198, 2782, 1447, 2702, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75241, 2777, 1450, 2704, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75285, 2794, 1467, 2701, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75328, 2801, 1484, 2684, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75372, 2766, 1476, 2696, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75415, 2787, 1467, 2693, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75459, 2831, 1482, 2687, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75502, 2784, 1468, 2710, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75546, 2796, 1487, 2698, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75589, 2782, 1452, 2712, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75633, 2796, 1461, 2709, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75664, 2792, 1492, 2717, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75695, 2795, 1455, 2699, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75727, 2809, 1461, 2711, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75758, 2790, 1491, 2698, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75790, 2795, 1479, 2695, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75821, 2787, 1503, 2709, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75853, 2761, 1481, 2684, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75884, 2795, 1458, 2693, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75916, 2774, 1490, 2703, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75947, 2797, 1476, 2706, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
75979, 2783, 1487, 2717, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76021, 2805, 1452, 2706, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76063, 2790, 1505, 2703, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76105, 2774, 1484, 2701, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76147, 2793, 1487, 2705, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76189, 2790, 1492, 2698, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76231, 2795, 1479, 2710, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76273, 2789, 1481, 2700, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76315, 2795, 1487, 2696, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76357, 2807, 1493, 2700, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76400, 2776, 1459, 2671, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76435, 2791, 1498, 2698, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76471, 2794, 1523, 2698, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76506, 2789, 1499, 2708, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76542, 2816, 1498, 2706, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76578, 2776, 1504, 2702, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76613, 2794, 1474, 2691, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76649, 2785, 1498, 2691, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76685, 2791, 1502, 2682, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76720, 2804, 1488, 2700, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76756, 2779, 1474, 2688, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76792, 2768, 1498, 2688, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76833, 2795, 1517, 2682, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76875, 2787, 1500, 2697, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76917, 2801, 1484, 2699, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
76959, 2781, 1499, 2691, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
77001, 2766, 1517, 2685, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
77042, 2776, 1490, 2694, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
77084, 2763, 1454, 2688, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
77126, 2786, 1504, 2703, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
77168, 2783, 1523, 2709, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
