357867, 2743, 827, 3013, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359373, 2724, 897, 2997, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359408, 2721, 912, 3008, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359443, 2719, 870, 3000, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359477, 2723, 871, 3006, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359512, 2714, 875, 3032, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359547, 2724, 855, 3045, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359582, 2732, 872, 3039, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359617, 2716, 835, 3027, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359657, 2715, 866, 3035, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359698, 2721, 887, 3020, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359739, 2718, 841, 3025, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359780, 2713, 868, 3043, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359821, 2703, 861, 3014, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359862, 2714, 826, 3028, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359903, 2733, 828, 3015, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359944, 2731, 836, 3022, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359985, 2715, 862, 3042, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360026, 2722, 839, 3031, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360067, 2717, 827, 3028, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360102, 2712, 833, 3036, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360138, 2707, 822, 3014, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360173, 2719, 854, 3038, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360209, 2744, 841, 3028, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360245, 2739, 843, 3021, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360280, 2732, 817, 3001, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360316, 2750, 860, 3021, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360351, 2745, 830, 3028, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360387, 2734, 812, 3015, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360423, 2740, 836, 3008, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360459, 2753, 817, 3012, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360496, 2742, 785, 3029, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360532, 2742, 806, 3038, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360569, 2730, 799, 3025, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360606, 2743, 800, 3026, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360642, 2734, 795, 3038, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360679, 2746, 775, 3006, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360716, 2752, 785, 3018, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360752, 2733, 789, 3025, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360789, 2739, 802, 3001, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360826, 2751, 805, 3011, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360866, 2741, 814, 3006, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360907, 2732, 821, 3014, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360948, 2741, 817, 3017, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
360988, 2717, 813, 3019, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361029, 2770, 818, 3011, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361070, 2763, 786, 3005, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361110, 2762, 779, 3000, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361151, 2779, 807, 2999, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361192, 2783, 798, 3008, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361233, 2774, 773, 2995, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361271, 2765, 784, 2992, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361310, 2756, 788, 3002, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361348, 2775, 798, 3004, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361387, 2751, 780, 2999, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361425, 2777, 795, 3002, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361464, 2784, 799, 3012, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361502, 2777, 790, 2983, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361541, 2770, 832, 2991, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361579, 2763, 793, 3005, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361618, 2761, 814, 3005, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361654, 2772, 831, 2988, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361690, 2757, 794, 3010, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361727, 2771, 792, 2992, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361763, 2766, 802, 3003, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361800, 2757, 810, 2996, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361836, 2747, 786, 3003, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361873, 2764, 773, 3014, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361909, 2788, 806, 3000, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361946, 2750, 769, 3008, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
361982, 2750, 790, 2986, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362019, 2797, 772, 2997, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362060, 2765, 774, 3002, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362102, 2785, 762, 2992, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362144, 2753, 774, 3014, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362185, 2785, 772, 2998, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362227, 2752, 770, 2995, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362269, 2768, 778, 2989, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362310, 2766, 795, 2998, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362352, 2782, 756, 2987, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362394, 2779, 762, 2991, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362436, 2796, 792, 2986, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362473, 2812, 784, 2978, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362511, 2794, 785, 2993, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362549, 2775, 803, 2982, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362587, 2801, 782, 2960, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362625, 2805, 791, 2983, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362662, 2790, 796, 2991, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362700, 2797, 780, 2988, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362738, 2803, 793, 2981, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362776, 2782, 788, 2987, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362814, 2808, 790, 2986, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362852, 2784, 784, 2985, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362889, 2802, 790, 2985, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362927, 2812, 774, 2992, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
362965, 2798, 791, 2974, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363002, 2796, 789, 2991, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363040, 2787, 786, 2986, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363078, 2769, 799, 2976, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363115, 2796, 782, 2972, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363153, 2802, 804, 2988, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363191, 2796, 771, 2995, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363229, 2785, 774, 2996, 80, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363271, 2776, 769, 2985, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363313, 2775, 785, 3008, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363355, 2772, 771, 2993, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363397, 2755, 758, 2998, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363440, 2777, 749, 3010, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363482, 2777, 799, 2984, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363524, 2779, 786, 2983, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363566, 2793, 755, 3001, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363608, 2797, 757, 2999, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363651, 2802, 763, 2984, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363683, 2776, 762, 2996, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363715, 2796, 776, 2968, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363748, 2800, 760, 2988, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363780, 2799, 779, 3000, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363813, 2788, 777, 2969, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363845, 2794, 789, 2986, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363878, 2801, 789, 2988, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363910, 2794, 770, 2969, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363943, 2791, 758, 2982, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
363975, 2713, 786, 3008, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364008, 2779, 777, 2990, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364054, 2773, 813, 2991, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364101, 2778, 770, 2997, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364147, 2779, 789, 2993, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364194, 2767, 767, 2976, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364240, 2786, 797, 3015, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364287, 2775, 771, 2988, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364333, 2773, 772, 3005, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364380, 2771, 790, 2992, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364426, 2778, 802, 2989, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364473, 2775, 760, 2997, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364507, 2756, 767, 2998, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364542, 2802, 770, 2989, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364577, 2802, 805, 2976, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364611, 2795, 803, 2977, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364646, 2773, 823, 2992, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364681, 2815, 827, 2977, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364715, 2791, 822, 2981, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364750, 2805, 859, 2967, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364785, 2806, 855, 2941, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364820, 2830, 867, 2932, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364856, 2812, 861, 2942, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364893, 2795, 893, 2935, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364929, 2798, 902, 2926, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
364966, 2836, 893, 2919, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
365003, 2828, 902, 2926, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
365039, 2843, 882, 2898, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
365076, 2846, 957, 2891, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
365113, 2811, 1009, 2898, 81, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
