50900, 3171, 2045, 1689, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52987, 3472, 1871, 1222, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53029, 3474, 1900, 1256, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53071, 3419, 1914, 1283, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53114, 3367, 1995, 1330, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53156, 3386, 2016, 1298, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53198, 3386, 1998, 1269, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53240, 3423, 1995, 1311, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53282, 3377, 1998, 1275, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53325, 3390, 2005, 1288, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53359, 3338, 2022, 1283, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53393, 3352, 2007, 1343, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53427, 3312, 2046, 1409, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53461, 3313, 2009, 1412, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
53495, 3329, 2049, 1447, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
