169559, 2671, 2877, 1298, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170410, 2708, 2848, 1321, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170448, 2716, 2809, 1311, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170486, 2696, 2829, 1323, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170524, 2699, 2845, 1335, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170561, 2691, 2820, 1320, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170599, 2721, 2817, 1342, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170637, 2727, 2819, 1305, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170675, 2706, 2854, 1328, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170713, 2710, 2839, 1321, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170749, 2691, 2848, 1321, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170786, 2715, 2838, 1325, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170823, 2698, 2811, 1334, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170859, 2692, 2852, 1318, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170896, 2709, 2824, 1307, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170933, 2712, 2858, 1349, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170970, 2703, 2823, 1334, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171006, 2695, 2830, 1317, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171043, 2703, 2847, 1351, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171080, 2738, 2819, 1332, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171117, 2690, 2825, 1343, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171158, 2740, 2811, 1324, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171200, 2733, 2808, 1327, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171242, 2713, 2804, 1304, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171284, 2735, 2809, 1351, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171326, 2754, 2786, 1317, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171367, 2731, 2835, 1332, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171409, 2737, 2806, 1331, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171451, 2747, 2799, 1339, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171493, 2742, 2751, 1330, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171535, 2745, 2785, 1337, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171570, 2746, 2788, 1336, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171605, 2746, 2778, 1341, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171640, 2743, 2806, 1334, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171675, 2737, 2799, 1346, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171710, 2749, 2786, 1355, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171745, 2746, 2766, 1335, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171780, 2757, 2818, 1351, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171815, 2745, 2776, 1346, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171850, 2744, 2794, 1373, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171885, 2773, 2739, 1370, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171921, 2775, 2705, 1384, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
171962, 2799, 2716, 1414, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172003, 2788, 2686, 1418, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172044, 2802, 2666, 1443, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172086, 2759, 2679, 1421, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172127, 2788, 2681, 1451, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172168, 2801, 2685, 1442, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172210, 2806, 2677, 1443, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172251, 2830, 2669, 1420, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172292, 2816, 2693, 1410, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172334, 2817, 2681, 1440, 97, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172371, 2835, 2650, 1422, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172408, 2837, 2660, 1424, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172445, 2826, 2647, 1411, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172482, 2824, 2674, 1420, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172519, 2888, 2646, 1423, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172556, 2861, 2597, 1432, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172593, 2905, 2589, 1444, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172630, 2903, 2599, 1478, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172667, 2910, 2563, 1437, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172704, 2882, 2551, 1456, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172741, 2896, 2557, 1456, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172778, 2891, 2588, 1436, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172815, 2883, 2601, 1405, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172853, 2881, 2610, 1425, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172890, 2885, 2568, 1414, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172927, 2858, 2615, 1435, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
172964, 2877, 2601, 1439, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173002, 2911, 2580, 1414, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173039, 2884, 2603, 1416, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173076, 2902, 2611, 1418, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173114, 2875, 2618, 1427, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173157, 2893, 2583, 1410, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173200, 2906, 2616, 1425, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173243, 2865, 2606, 1419, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173287, 2881, 2606, 1377, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173330, 2847, 2649, 1409, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173373, 2870, 2604, 1419, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173417, 2880, 2605, 1412, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173460, 2858, 2619, 1394, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173503, 2847, 2637, 1418, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173547, 2884, 2618, 1404, 96, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173582, 2870, 2647, 1400, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173618, 2894, 2618, 1381, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173654, 2893, 2615, 1392, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173689, 2871, 2632, 1401, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173725, 2864, 2633, 1381, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173761, 2878, 2656, 1400, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173796, 2896, 2623, 1385, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173832, 2897, 2628, 1371, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173868, 2861, 2630, 1376, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173904, 2893, 2637, 1384, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173942, 2854, 2655, 1377, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
173980, 2880, 2657, 1372, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174018, 2874, 2630, 1370, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174057, 2854, 2641, 1367, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174095, 2892, 2609, 1366, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174133, 2885, 2658, 1360, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174171, 2878, 2640, 1330, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174210, 2877, 2641, 1348, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174248, 2887, 2616, 1356, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174286, 2885, 2650, 1355, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174325, 2887, 2636, 1347, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174364, 2912, 2655, 1366, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174403, 2900, 2629, 1341, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174442, 2888, 2653, 1359, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174481, 2881, 2645, 1346, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174521, 2871, 2650, 1330, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174560, 2885, 2661, 1362, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174599, 2881, 2653, 1349, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174638, 2889, 2660, 1363, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174677, 2884, 2626, 1327, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174717, 2887, 2635, 1347, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174752, 2898, 2655, 1339, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174787, 2885, 2639, 1319, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174822, 2867, 2659, 1330, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174857, 2877, 2660, 1338, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174892, 2873, 2658, 1331, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174928, 2892, 2653, 1319, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174963, 2894, 2661, 1335, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
174998, 2868, 2679, 1352, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175033, 2883, 2671, 1323, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175068, 2866, 2677, 1338, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175104, 2883, 2656, 1342, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175146, 2874, 2657, 1335, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175188, 2873, 2659, 1343, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175230, 2880, 2640, 1348, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175272, 2897, 2639, 1329, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175314, 2899, 2661, 1351, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175356, 2911, 2658, 1324, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175398, 2889, 2675, 1319, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175440, 2891, 2679, 1322, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175482, 2893, 2659, 1315, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175524, 2907, 2685, 1327, 95, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175563, 2891, 2642, 1310, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175602, 2911, 2646, 1318, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175641, 2898, 2657, 1312, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175680, 2881, 2664, 1311, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175719, 2882, 2661, 1317, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175758, 2870, 2653, 1319, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175797, 2853, 2680, 1354, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175836, 2875, 2614, 1285, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175875, 2866, 2652, 1288, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175915, 2890, 2675, 1279, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175951, 2882, 2675, 1302, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
175988, 2877, 2663, 1271, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176025, 2884, 2654, 1319, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176061, 2879, 2636, 1296, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176098, 2868, 2672, 1304, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176135, 2912, 2656, 1303, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176172, 2890, 2650, 1276, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176208, 2884, 2675, 1293, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176245, 2878, 2698, 1277, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176282, 2846, 2666, 1270, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176319, 2846, 2686, 1281, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176358, 2862, 2688, 1302, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176398, 2880, 2657, 1282, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176437, 2869, 2667, 1295, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176477, 2829, 2698, 1306, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176516, 2884, 2666, 1292, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176556, 2868, 2691, 1302, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176595, 2865, 2670, 1292, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176635, 2841, 2696, 1299, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176674, 2871, 2675, 1295, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176714, 2863, 2669, 1279, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176750, 2864, 2687, 1295, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176787, 2894, 2685, 1284, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176823, 2856, 2676, 1265, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176860, 2857, 2677, 1276, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176896, 2844, 2700, 1296, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176933, 2876, 2682, 1294, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
176969, 2853, 2687, 1299, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177006, 2829, 2702, 1292, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177042, 2858, 2707, 1286, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177079, 2857, 2694, 1272, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177116, 2857, 2706, 1276, 93, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177162, 2885, 2685, 1275, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177209, 2854, 2702, 1279, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177255, 2856, 2698, 1284, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177302, 2852, 2697, 1290, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177348, 2839, 2702, 1309, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177395, 2873, 2692, 1296, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177441, 2832, 2709, 1282, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177488, 2873, 2694, 1287, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177534, 2844, 2705, 1283, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177581, 2864, 2706, 1306, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177614, 2852, 2677, 1276, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177647, 2834, 2707, 1293, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177680, 2867, 2698, 1308, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177714, 2859, 2716, 1289, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177747, 2846, 2686, 1294, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177780, 2839, 2699, 1295, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177814, 2847, 2707, 1307, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177847, 2848, 2721, 1317, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177880, 2847, 2719, 1297, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177914, 2839, 2691, 1300, 92, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177956, 2863, 2689, 1283, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
177998, 2835, 2700, 1281, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178040, 2852, 2688, 1296, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178082, 2832, 2687, 1318, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178124, 2840, 2725, 1304, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178166, 2846, 2716, 1305, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178208, 2848, 2699, 1314, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178250, 2851, 2699, 1312, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178292, 2830, 2708, 1292, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
178334, 2852, 2695, 1304, 91, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
