149367, 2765, 1401, 2795, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150821, 2747, 1420, 2794, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150856, 2747, 1395, 2784, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150892, 2760, 1403, 2777, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150932, 2758, 1390, 2779, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150973, 2766, 1390, 2786, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151014, 2750, 1377, 2799, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151055, 2749, 1398, 2791, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151096, 2746, 1388, 2789, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151137, 2740, 1359, 2784, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151178, 2764, 1377, 2803, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151219, 2737, 1371, 2791, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151260, 2737, 1376, 2807, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151301, 2756, 1377, 2790, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151339, 2750, 1387, 2801, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151378, 2740, 1408, 2814, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151417, 2728, 1381, 2797, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151456, 2732, 1382, 2798, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151495, 2752, 1378, 2797, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151534, 2714, 1373, 2787, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151573, 2730, 1362, 2799, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151612, 2733, 1373, 2779, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151651, 2745, 1373, 2809, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151690, 2730, 1391, 2799, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151726, 2735, 1372, 2815, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151763, 2755, 1396, 2795, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151799, 2726, 1391, 2812, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151836, 2772, 1379, 2795, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151872, 2755, 1360, 2810, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151909, 2738, 1385, 2782, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151945, 2739, 1379, 2792, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
151982, 2736, 1397, 2784, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152018, 2740, 1391, 2798, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152055, 2747, 1395, 2788, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152092, 2722, 1366, 2804, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152132, 2748, 1394, 2801, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152173, 2759, 1375, 2804, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152214, 2754, 1394, 2796, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152255, 2738, 1389, 2798, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152296, 2733, 1363, 2794, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152336, 2748, 1369, 2801, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152377, 2744, 1375, 2792, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152418, 2772, 1403, 2795, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152459, 2729, 1386, 2784, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152500, 2744, 1380, 2784, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152535, 2756, 1390, 2797, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152570, 2733, 1389, 2798, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152605, 2731, 1367, 2824, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152641, 2727, 1368, 2793, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152676, 2753, 1398, 2783, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152711, 2737, 1429, 2764, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152746, 2748, 1403, 2782, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152782, 2777, 1403, 2783, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152817, 2771, 1414, 2788, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152852, 2769, 1406, 2787, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152888, 2772, 1390, 2786, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152928, 2741, 1385, 2769, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
152969, 2741, 1404, 2779, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153009, 2748, 1391, 2785, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153050, 2768, 1379, 2785, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153090, 2745, 1409, 2770, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153131, 2742, 1414, 2774, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153171, 2766, 1383, 2769, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153212, 2765, 1403, 2775, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153252, 2739, 1389, 2781, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153293, 2752, 1377, 2780, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153332, 2745, 1393, 2791, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153371, 2742, 1366, 2787, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153411, 2736, 1422, 2789, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153450, 2730, 1412, 2780, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153490, 2756, 1420, 2772, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153529, 2757, 1407, 2773, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153568, 2737, 1411, 2800, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153608, 2721, 1404, 2785, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153647, 2748, 1412, 2775, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153687, 2726, 1405, 2794, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153723, 2756, 1387, 2795, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153759, 2738, 1432, 2789, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153796, 2736, 1393, 2799, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153832, 2748, 1416, 2783, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153868, 2735, 1414, 2799, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153905, 2750, 1403, 2775, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153941, 2748, 1400, 2801, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
153977, 2752, 1412, 2809, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154014, 2730, 1416, 2816, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154050, 2726, 1384, 2809, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154087, 2727, 1384, 2814, 83, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154133, 2735, 1383, 2775, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154180, 2728, 1410, 2803, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154226, 2709, 1401, 2820, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154273, 2738, 1394, 2813, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154320, 2732, 1380, 2816, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154366, 2736, 1381, 2800, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154413, 2729, 1366, 2824, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154459, 2736, 1382, 2798, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154506, 2722, 1411, 2798, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154553, 2718, 1376, 2809, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154583, 2722, 1368, 2799, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154613, 2731, 1386, 2814, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154643, 2739, 1389, 2820, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154674, 2728, 1407, 2798, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154704, 2707, 1401, 2802, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154734, 2723, 1392, 2801, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154764, 2727, 1410, 2813, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154795, 2727, 1425, 2822, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154825, 2721, 1403, 2807, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154855, 2711, 1394, 2814, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154886, 2702, 1399, 2829, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154932, 2702, 1394, 2829, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
154979, 2706, 1395, 2809, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155025, 2717, 1398, 2815, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155072, 2731, 1390, 2812, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155119, 2720, 1408, 2824, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155165, 2743, 1407, 2811, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155212, 2703, 1394, 2831, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155258, 2696, 1424, 2818, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155305, 2708, 1405, 2809, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155352, 2719, 1406, 2801, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155386, 2724, 1416, 2810, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155420, 2711, 1408, 2806, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155454, 2694, 1403, 2813, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
155488, 2686, 1405, 2814, 84, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
