103462, 2754, 1259, 2832, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105221, 2694, 1270, 2877, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105264, 2695, 1278, 2895, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105307, 2701, 1286, 2880, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105350, 2698, 1299, 2881, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105393, 2692, 1265, 2895, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105436, 2722, 1276, 2894, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105479, 2723, 1271, 2881, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105522, 2701, 1297, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105565, 2701, 1270, 2890, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105609, 2699, 1289, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105642, 2716, 1282, 2886, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105675, 2713, 1271, 2905, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105708, 2688, 1298, 2896, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105741, 2719, 1274, 2895, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105774, 2705, 1275, 2871, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105807, 2706, 1287, 2879, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105840, 2693, 1274, 2876, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105873, 2711, 1261, 2887, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105906, 2715, 1257, 2869, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105939, 2683, 1273, 2866, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105978, 2687, 1272, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106018, 2705, 1271, 2884, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106057, 2710, 1276, 2901, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106097, 2710, 1287, 2869, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106137, 2726, 1285, 2882, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106176, 2713, 1276, 2877, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106216, 2711, 1263, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106255, 2694, 1287, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106295, 2690, 1271, 2872, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106335, 2695, 1278, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106370, 2720, 1287, 2878, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106406, 2700, 1260, 2876, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106441, 2706, 1280, 2884, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106477, 2711, 1275, 2891, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106512, 2693, 1296, 2884, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106548, 2716, 1289, 2899, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106583, 2685, 1269, 2912, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106619, 2687, 1268, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106654, 2691, 1293, 2873, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106690, 2693, 1286, 2880, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106726, 2690, 1271, 2900, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106766, 2687, 1299, 2873, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106807, 2701, 1289, 2888, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106848, 2694, 1270, 2892, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106889, 2701, 1268, 2860, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106930, 2684, 1272, 2898, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
106970, 2726, 1249, 2877, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107011, 2716, 1284, 2865, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107052, 2689, 1278, 2881, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107093, 2732, 1268, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107134, 2716, 1282, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107175, 2671, 1307, 2893, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107216, 2701, 1284, 2928, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107257, 2695, 1282, 2867, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107298, 2695, 1316, 2865, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107339, 2716, 1287, 2887, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107380, 2735, 1267, 2900, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107421, 2699, 1283, 2864, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107462, 2701, 1295, 2881, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107503, 2704, 1261, 2888, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107544, 2702, 1266, 2892, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107579, 2697, 1287, 2871, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107615, 2686, 1279, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107651, 2710, 1256, 2879, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107686, 2689, 1298, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107722, 2675, 1315, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107758, 2681, 1289, 2867, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107794, 2697, 1300, 2901, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107829, 2713, 1280, 2865, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107865, 2690, 1310, 2864, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107901, 2718, 1298, 2873, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107937, 2690, 1282, 2892, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
107974, 2679, 1284, 2879, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108012, 2711, 1275, 2857, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108050, 2726, 1298, 2887, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108088, 2711, 1282, 2869, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108126, 2695, 1314, 2871, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108164, 2714, 1282, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108202, 2695, 1341, 2873, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108240, 2697, 1290, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108278, 2694, 1292, 2870, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108316, 2694, 1295, 2898, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108354, 2703, 1280, 2894, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108392, 2693, 1297, 2884, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108430, 2710, 1304, 2863, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108469, 2673, 1318, 2887, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108507, 2713, 1314, 2859, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108545, 2712, 1302, 2907, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108583, 2690, 1309, 2879, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108622, 2696, 1305, 2873, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108660, 2690, 1292, 2876, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108698, 2679, 1293, 2868, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108737, 2693, 1297, 2882, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108773, 2687, 1321, 2880, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108810, 2690, 1306, 2893, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108847, 2695, 1303, 2855, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108884, 2701, 1306, 2889, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108921, 2686, 1315, 2877, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108957, 2673, 1320, 2879, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
108994, 2693, 1298, 2910, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109031, 2694, 1290, 2900, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109068, 2668, 1313, 2912, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109105, 2695, 1306, 2878, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109146, 2703, 1293, 2895, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109187, 2697, 1317, 2891, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109228, 2668, 1301, 2899, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109269, 2655, 1329, 2908, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109311, 2664, 1334, 2911, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109352, 2634, 1334, 2894, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109393, 2677, 1304, 2919, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109434, 2694, 1319, 2901, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109475, 2648, 1342, 2917, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109517, 2677, 1320, 2907, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109553, 2694, 1271, 2888, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109589, 2656, 1319, 2908, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109626, 2663, 1308, 2884, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109662, 2675, 1314, 2895, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109698, 2659, 1318, 2907, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109735, 2656, 1330, 2899, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109771, 2674, 1310, 2891, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109807, 2676, 1304, 2900, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109844, 2693, 1311, 2892, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109880, 2687, 1315, 2890, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109917, 2678, 1323, 2903, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109955, 2664, 1302, 2891, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
109994, 2678, 1328, 2898, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
110033, 2652, 1311, 2881, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
110072, 2682, 1322, 2890, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
110111, 2655, 1327, 2905, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
110149, 2675, 1337, 2894, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
110188, 2686, 1302, 2872, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
110227, 2663, 1314, 2878, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
