192823, 3230, 2356, 1109, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196270, 3222, 2296, 1156, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196305, 3225, 2314, 1175, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196341, 3229, 2309, 1151, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196377, 3205, 2310, 1156, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196415, 3207, 2284, 1181, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196454, 3246, 2284, 1197, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196493, 3199, 2304, 1188, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196531, 3235, 2277, 1162, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196570, 3233, 2299, 1146, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196609, 3242, 2310, 1140, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196647, 3243, 2324, 1117, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196686, 3239, 2308, 1140, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196725, 3252, 2315, 1128, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196764, 3248, 2297, 1128, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196802, 3255, 2308, 1128, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196840, 3262, 2288, 1122, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196878, 3235, 2295, 1114, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196916, 3261, 2296, 1101, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196954, 3268, 2318, 1090, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196992, 3281, 2288, 1077, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197030, 3275, 2294, 1071, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197068, 3271, 2306, 1055, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197106, 3269, 2304, 1040, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197144, 3294, 2271, 1018, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197183, 3297, 2292, 996, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197222, 3288, 2261, 981, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197261, 3285, 2316, 980, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197301, 3307, 2279, 975, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197340, 3292, 2311, 935, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197380, 3331, 2290, 932, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197419, 3294, 2334, 921, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197458, 3289, 2328, 897, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197498, 3324, 2296, 921, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197537, 3327, 2328, 895, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197577, 3317, 2294, 894, 98, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197623, 3314, 2313, 903, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197670, 3319, 2273, 898, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197716, 3332, 2316, 884, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197763, 3327, 2281, 867, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197809, 3319, 2282, 871, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197856, 3327, 2294, 848, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197902, 3313, 2238, 815, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197949, 3314, 2316, 893, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
197995, 3296, 2367, 846, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198042, 3344, 2231, 821, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198071, 3326, 2294, 846, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198101, 3333, 2324, 865, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198131, 3373, 2284, 811, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198160, 3361, 2301, 809, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198190, 3357, 2253, 805, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198220, 3366, 2247, 737, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198250, 3396, 2304, 844, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
198279, 3397, 2208, 719, 97, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
