179833, 3156, 1135, 2565, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180768, 2970, 1205, 2644, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180803, 2967, 1218, 2655, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180838, 2952, 1231, 2650, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180873, 2925, 1226, 2654, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180908, 2984, 1221, 2643, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180944, 3031, 1215, 2613, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180979, 2991, 1190, 2619, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181014, 2983, 1217, 2619, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181049, 3010, 1205, 2637, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181084, 2985, 1221, 2645, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181120, 2985, 1197, 2628, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181159, 3007, 1213, 2616, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181199, 2995, 1223, 2610, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181238, 2999, 1202, 2613, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181278, 2992, 1193, 2618, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181318, 2980, 1225, 2618, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181357, 3010, 1210, 2618, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181397, 2995, 1203, 2616, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181436, 2988, 1203, 2626, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181476, 2993, 1193, 2610, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181516, 2997, 1207, 2611, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181552, 2995, 1196, 2615, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181588, 2991, 1219, 2623, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181625, 3007, 1216, 2612, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181661, 3015, 1215, 2606, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181698, 2995, 1215, 2618, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181734, 3003, 1248, 2599, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181771, 3003, 1230, 2590, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181807, 2991, 1224, 2602, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181844, 2980, 1237, 2609, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181880, 2997, 1243, 2600, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181917, 3001, 1231, 2601, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
181962, 2985, 1215, 2605, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182007, 2991, 1217, 2607, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182052, 3009, 1214, 2602, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182097, 3019, 1214, 2603, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182142, 2993, 1239, 2606, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182187, 2988, 1240, 2616, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182232, 2998, 1238, 2608, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182277, 2981, 1229, 2596, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182322, 3005, 1239, 2603, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182367, 2980, 1254, 2630, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182401, 3003, 1230, 2595, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182436, 2999, 1250, 2596, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182471, 2996, 1240, 2561, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182506, 3000, 1240, 2580, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182541, 3013, 1232, 2579, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182576, 3023, 1220, 2591, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182611, 3027, 1241, 2568, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
182646, 3017, 1199, 2615, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182681, 3048, 1232, 2574, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182716, 3096, 1421, 2635, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182757, 3306, 941, 2739, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182799, 2947, 1592, 2517, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182841, 2884, 1932, 2335, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182882, 3018, 1050, 2251, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182924, 3026, 1291, 2647, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
182966, 3130, 1489, 3594, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183008, 2153, 2314, 3743, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183049, 2340, 1964, 3105, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183091, 2247, 2720, 3153, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183133, 2005, 2380, 2904, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183175, 1884, 2755, 2762, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183209, 1705, 3025, 1788, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183243, 1135, 3279, 1514, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183278, 1218, 3377, 1296, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183312, 792, 3322, 1417, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183347, 736, 3132, 1224, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183381, 541, 2830, 1395, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183415, 389, 3901, 1375, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183450, 226, 4387, 1515, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183484, 312, 3992, 1577, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183519, 235, 3781, 1681, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183554, 272, 3801, 835, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183589, 240, 3678, 836, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183625, 397, 3986, 670, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183660, 388, 4309, 861, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183696, 542, 4236, 663, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183731, 279, 3725, 767, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183767, 77, 3828, 97, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183802, 395, 3953, 1154, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183838, 328, 4082, 1195, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183873, 606, 4128, 490, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183909, 203, 4188, 1033, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183949, 319, 3862, 787, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
183990, 265, 3953, 982, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184031, 180, 4050, 1202, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184071, 206, 4080, 690, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184112, 312, 4083, 253, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184153, 369, 4164, 731, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184193, 510, 4033, 791, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184234, 272, 4095, 875, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184275, 472, 3775, 948, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184316, 167, 4200, 1688, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184356, 416, 3898, 1299, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184396, 489, 4235, 941, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184437, 498, 4148, 934, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184477, 489, 3798, 996, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184518, 482, 3783, 1120, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184558, 416, 3893, 1436, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184598, 572, 4092, 1402, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184639, 662, 4113, 1483, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184679, 891, 3618, 1155, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184720, 940, 3326, 1481, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184760, 1503, 2910, 819, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184801, 1646, 2731, 2138, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184842, 1460, 2891, 2494, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184883, 1776, 1774, 2617, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184924, 2565, 1087, 2776, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
184965, 2404, 1962, 3281, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185006, 2816, 2509, 3147, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185047, 2992, 1814, 3371, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185088, 2697, 1052, 2387, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185129, 2664, 66, 2292, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185170, 2923, 857, 3833, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185204, 3255, 1315, 3089, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185239, 3297, 57, 3077, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185274, 2949, 1221, 2707, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185309, 3000, 862, 2779, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185344, 2960, 939, 2754, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, menggaruk, 
185378, 2994, 837, 2783, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185413, 2972, 918, 2747, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185448, 2929, 969, 2721, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185483, 3028, 990, 2715, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185518, 3031, 952, 2698, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185556, 3025, 917, 2712, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185595, 3140, 988, 2627, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185634, 3156, 963, 2589, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185672, 3069, 1002, 2615, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
185711, 3116, 961, 2620, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
