95742, 2910, 585, 2933, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96896, 3097, 420, 2722, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96935, 3079, 457, 2727, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96974, 3105, 434, 2733, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97013, 3104, 449, 2744, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97051, 3103, 494, 2712, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97090, 3100, 453, 2717, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97129, 3137, 466, 2724, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97168, 3115, 420, 2709, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97207, 3127, 437, 2714, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97243, 3114, 467, 2714, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97280, 3116, 459, 2719, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97316, 3118, 448, 2694, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97353, 3097, 457, 2718, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97389, 3131, 433, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97426, 3131, 424, 2714, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97462, 3129, 450, 2702, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97499, 3134, 429, 2679, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97535, 3110, 450, 2707, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97572, 3128, 435, 2707, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97609, 3117, 443, 2710, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97650, 3126, 443, 2702, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97691, 3119, 434, 2691, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97732, 3122, 460, 2686, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97773, 3122, 455, 2694, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97814, 3133, 465, 2716, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97855, 3125, 434, 2696, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97896, 3108, 443, 2716, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97937, 3131, 398, 2729, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
97978, 3134, 437, 2713, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98019, 3135, 445, 2720, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98055, 3116, 417, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98092, 3136, 427, 2705, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98129, 3118, 416, 2722, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98165, 3122, 412, 2726, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98202, 3128, 416, 2721, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98239, 3126, 421, 2720, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98276, 3120, 424, 2700, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98312, 3143, 423, 2719, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98349, 3115, 403, 2712, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98386, 3100, 439, 2726, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98423, 3100, 451, 2716, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98468, 3105, 436, 2717, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98513, 3098, 432, 2720, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98558, 3126, 406, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98603, 3124, 408, 2728, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98648, 3117, 415, 2718, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98693, 3122, 399, 2727, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98738, 3135, 412, 2700, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98783, 3121, 427, 2718, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98828, 3118, 440, 2710, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98874, 3143, 440, 2713, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98910, 3095, 419, 2708, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98946, 3122, 437, 2705, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
98982, 3134, 416, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99018, 3108, 420, 2725, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99054, 3113, 430, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99090, 3149, 429, 2709, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99126, 3121, 447, 2705, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99162, 3131, 425, 2708, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99198, 3135, 429, 2689, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99235, 3123, 433, 2706, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99270, 3126, 427, 2705, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99305, 3143, 414, 2696, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99340, 3116, 417, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99375, 3127, 432, 2694, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99410, 3125, 425, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99445, 3128, 394, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99480, 3121, 415, 2698, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99515, 3132, 425, 2701, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99550, 3125, 416, 2716, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99585, 3139, 388, 2716, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99620, 3123, 428, 2706, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99658, 3130, 399, 2716, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99697, 3128, 400, 2720, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99736, 3138, 423, 2695, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99775, 3136, 412, 2715, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99814, 3136, 424, 2705, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99853, 3140, 414, 2706, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99892, 3123, 415, 2717, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99931, 3137, 401, 2704, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
99970, 3133, 411, 2709, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100009, 3120, 386, 2721, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100049, 3119, 390, 2712, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100089, 3123, 400, 2731, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100129, 3128, 413, 2715, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100170, 3132, 429, 2729, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100210, 3124, 418, 2718, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100250, 3115, 393, 2719, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100290, 3134, 400, 2725, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100331, 3119, 360, 2718, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100371, 3118, 398, 2704, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100411, 3125, 375, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100452, 3110, 419, 2715, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100495, 3117, 415, 2725, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100538, 3109, 415, 2713, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100581, 3116, 399, 2728, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100625, 3115, 403, 2735, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100668, 3124, 384, 2714, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100711, 3110, 419, 2726, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100755, 3113, 444, 2700, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100798, 3108, 406, 2725, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100841, 3142, 409, 2700, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100885, 3120, 405, 2703, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100917, 3132, 411, 2708, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100949, 3146, 409, 2696, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
100982, 3115, 399, 2716, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101014, 3113, 391, 2703, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101047, 3133, 382, 2686, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101079, 3141, 432, 2732, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101111, 3168, 353, 2693, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101144, 3185, 407, 2646, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101176, 3183, 437, 2638, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101209, 3147, 524, 2706, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101246, 2943, 619, 2852, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
101283, 2953, 648, 2880, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
