91266, 2285, 1686, 3045, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92064, 2450, 1689, 2885, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92102, 2457, 1686, 2901, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92140, 2481, 1697, 2866, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92178, 2451, 1700, 2868, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92223, 2467, 1696, 2864, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92268, 2465, 1707, 2862, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92313, 2482, 1713, 2864, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92358, 2470, 1689, 2855, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92403, 2474, 1703, 2834, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92448, 2457, 1722, 2866, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92493, 2468, 1736, 2862, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92538, 2474, 1708, 2861, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92583, 2469, 1717, 2880, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92629, 2474, 1706, 2871, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92661, 2466, 1716, 2866, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92694, 2483, 1683, 2837, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92727, 2493, 1720, 2855, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92760, 2482, 1715, 2859, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92793, 2489, 1701, 2861, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92826, 2492, 1729, 2868, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92859, 2486, 1705, 2845, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92892, 2484, 1722, 2847, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92925, 2494, 1715, 2845, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92958, 2490, 1698, 2857, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92991, 2488, 1716, 2844, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93029, 2507, 1703, 2838, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93068, 2492, 1701, 2865, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93107, 2478, 1706, 2836, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93145, 2502, 1706, 2854, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93184, 2490, 1699, 2840, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93223, 2505, 1698, 2844, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93261, 2517, 1705, 2843, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93300, 2501, 1692, 2860, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93339, 2513, 1703, 2829, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93378, 2510, 1697, 2845, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93416, 2502, 1695, 2854, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93454, 2500, 1710, 2850, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93492, 2512, 1713, 2852, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93530, 2502, 1701, 2843, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93568, 2515, 1695, 2846, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93606, 2490, 1690, 2856, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93644, 2499, 1696, 2842, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93682, 2486, 1687, 2858, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93720, 2497, 1701, 2845, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93758, 2509, 1691, 2829, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93797, 2504, 1709, 2830, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93836, 2507, 1718, 2838, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93875, 2514, 1699, 2844, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93915, 2530, 1680, 2819, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93954, 2545, 1687, 2802, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
93994, 2585, 1687, 2789, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94033, 2604, 1680, 2793, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94072, 2628, 1682, 2747, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94112, 2647, 1635, 2729, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94151, 2657, 1674, 2741, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94191, 2684, 1695, 2716, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94229, 2686, 1658, 2699, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94268, 2687, 1623, 2700, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94307, 2707, 1653, 2683, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94345, 2701, 1677, 2699, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94384, 2699, 1644, 2667, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94423, 2708, 1645, 2687, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94461, 2727, 1652, 2722, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
94500, 2720, 1587, 2680, 95, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
