222306, 2909, 2404, 1727, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226291, 2962, 2395, 1637, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226335, 2977, 2384, 1630, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226366, 2944, 2407, 1583, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226397, 2950, 2431, 1611, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226428, 2978, 2413, 1586, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226459, 2972, 2438, 1591, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226490, 2983, 2408, 1580, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226521, 2963, 2418, 1577, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226552, 2984, 2397, 1571, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226583, 2986, 2408, 1571, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226614, 2995, 2442, 1567, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226645, 2996, 2419, 1567, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226682, 2985, 2422, 1578, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226719, 2938, 2419, 1592, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226756, 2989, 2418, 1588, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226793, 2997, 2396, 1572, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226830, 2974, 2394, 1562, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226867, 2984, 2406, 1564, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226904, 2969, 2423, 1570, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226941, 2987, 2378, 1550, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226978, 3008, 2393, 1538, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227015, 2978, 2395, 1526, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227053, 2999, 2411, 1526, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227093, 2996, 2453, 1496, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227133, 2985, 2428, 1459, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227173, 2955, 2436, 1499, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227214, 2966, 2472, 1508, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227254, 2977, 2519, 1503, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227294, 2975, 2464, 1422, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227335, 3007, 2478, 1433, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227375, 3037, 2478, 1428, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227415, 3028, 2486, 1460, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
227456, 3053, 2441, 1428, 101, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
