361317, 3620, 1145, 1727, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363302, 3671, 909, 1711, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363341, 3677, 917, 1713, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363381, 3660, 939, 1699, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363420, 3676, 912, 1722, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363460, 3652, 923, 1711, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363499, 3674, 896, 1710, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363539, 3664, 946, 1717, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363578, 3653, 907, 1733, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363618, 3677, 881, 1743, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363657, 3656, 904, 1709, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363697, 3636, 923, 1749, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363730, 3663, 930, 1709, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363764, 3686, 922, 1730, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363798, 3670, 931, 1722, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363832, 3672, 888, 1718, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363866, 3663, 904, 1709, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363899, 3664, 920, 1687, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363933, 3650, 920, 1720, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363967, 3647, 919, 1716, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364001, 3668, 920, 1767, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364035, 3659, 903, 1721, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364071, 3667, 930, 1732, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364108, 3682, 910, 1723, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364145, 3684, 902, 1731, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364181, 3652, 908, 1731, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364218, 3672, 897, 1738, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364255, 3658, 888, 1712, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364292, 3682, 938, 1744, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364328, 3664, 910, 1736, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364365, 3673, 911, 1730, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364402, 3673, 897, 1706, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364439, 3656, 940, 1742, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364480, 3649, 896, 1729, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364521, 3652, 907, 1740, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364562, 3668, 901, 1720, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364604, 3666, 904, 1726, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364645, 3651, 918, 1704, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364686, 3659, 917, 1720, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364728, 3660, 889, 1725, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364769, 3663, 907, 1723, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364810, 3659, 925, 1718, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364852, 3679, 884, 1734, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364892, 3676, 908, 1715, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364932, 3681, 910, 1716, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
364972, 3669, 904, 1719, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365012, 3666, 891, 1725, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365053, 3648, 918, 1742, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365093, 3672, 934, 1713, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365133, 3651, 944, 1732, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365173, 3655, 916, 1712, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365213, 3674, 903, 1732, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365254, 3668, 931, 1738, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365289, 3679, 945, 1716, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365324, 3674, 926, 1719, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365359, 3689, 929, 1716, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365394, 3670, 938, 1723, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365429, 3659, 923, 1720, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365464, 3657, 926, 1738, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365499, 3647, 922, 1752, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365534, 3650, 934, 1752, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365569, 3667, 921, 1711, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365604, 3689, 943, 1731, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365640, 3652, 938, 1714, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365680, 3661, 923, 1734, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365721, 3666, 930, 1720, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365762, 3663, 919, 1737, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
365803, 3673, 946, 1693, 76, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
