233827, 3013, 1425, 2481, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236731, 2840, 1506, 2627, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236770, 2839, 1512, 2631, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236808, 2831, 1505, 2646, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236847, 2849, 1508, 2642, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236886, 2843, 1531, 2635, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236928, 2818, 1524, 2630, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236970, 2849, 1506, 2637, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237012, 2829, 1526, 2634, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237054, 2812, 1499, 2652, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237096, 2836, 1498, 2636, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237138, 2836, 1513, 2624, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237180, 2836, 1525, 2611, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237222, 2857, 1536, 2631, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237264, 2845, 1504, 2626, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237307, 2829, 1522, 2640, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237341, 2829, 1511, 2626, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237375, 2833, 1521, 2636, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237410, 2852, 1519, 2639, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237444, 2824, 1497, 2619, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237478, 2839, 1498, 2629, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237513, 2842, 1511, 2633, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237547, 2832, 1507, 2636, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237581, 2844, 1488, 2621, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237616, 2861, 1487, 2617, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237650, 2803, 1517, 2614, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237685, 2829, 1518, 2610, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237725, 2856, 1509, 2602, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237765, 2868, 1507, 2606, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237805, 2862, 1492, 2607, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237846, 2916, 1483, 2600, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237886, 2882, 1490, 2611, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237926, 2888, 1499, 2568, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
237967, 2939, 1480, 2567, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
238007, 2932, 1470, 2573, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
238047, 2900, 1437, 2582, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
238088, 2921, 1500, 2578, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
238126, 2896, 1491, 2572, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
